Episode: 0 Iteratio:0 reward:1 total_reward:1 episode_reward:1, loss:0 #items:1 conf. ratio:1.0.
Episode: 0 Iteratio:4500 reward:0 total_reward:2280 episode_reward:2280, loss:0.33 #items:4501 conf. ratio:1.0.
Episode: 0 Iteratio:4600 reward:0 total_reward:2294 episode_reward:2294, loss:0.42 #items:4601 conf. ratio:1.0.
Episode: 0 Iteratio:4700 reward:2 total_reward:2347 episode_reward:2347, loss:0.28 #items:4701 conf. ratio:1.0.
Episode: 0 Iteratio:4800 reward:-1 total_reward:2337 episode_reward:2337, loss:0.32 #items:4801 conf. ratio:1.0.
Episode: 0 Iteratio:4900 reward:0 total_reward:2292 episode_reward:2292, loss:0.36 #items:4901 conf. ratio:1.0.
Episode: 0 Iteratio:5000 reward:0 total_reward:2293 episode_reward:2293, loss:0.35 #items:5001 conf. ratio:1.0.
Total Entries: 5001 More than 1: 0.97 More than 10: 0.93 More than 50: 0.92 Hottest index: 111 [   2.,4998.,   1.,   0.,   0.,   0.]
Episode: 0 Iteratio:5100 reward:1 total_reward:2395 episode_reward:2395, loss:0.34 #items:5101 conf. ratio:1.0.
Episode: 0 Iteratio:5200 reward:1 total_reward:2507 episode_reward:2507, loss:0.41 #items:5201 conf. ratio:1.0.
Episode: 0 Iteratio:5300 reward:-1 total_reward:2608 episode_reward:2608, loss:0.36 #items:5301 conf. ratio:1.0.
Episode: 0 Iteratio:5400 reward:1 total_reward:2667 episode_reward:2667, loss:0.41 #items:5401 conf. ratio:1.0.
Episode: 0 Iteratio:5500 reward:1 total_reward:2782 episode_reward:2782, loss:0.39 #items:5501 conf. ratio:1.0.
Episode: 0 Iteratio:5600 reward:2 total_reward:2907 episode_reward:2907, loss:0.31 #items:5601 conf. ratio:1.0.
Episode: 0 Iteratio:5700 reward:-1 total_reward:2866 episode_reward:2866, loss:0.38 #items:5701 conf. ratio:1.0.
Episode: 0 Iteratio:5800 reward:1 total_reward:2870 episode_reward:2870, loss:0.46 #items:5801 conf. ratio:1.0.
Episode: 0 Iteratio:5900 reward:1 total_reward:2982 episode_reward:2982, loss:0.34 #items:5901 conf. ratio:1.0.
Episode: 0 Iteratio:6000 reward:1 total_reward:3089 episode_reward:3089, loss:0.35 #items:6001 conf. ratio:1.0.
Total Entries: 6001 More than 1: 0.97 More than 10: 0.94 More than 50: 0.91 Hottest index: 18 [   3.,5997.,   1.,   0.,   0.,   0.]
Episode: 0 Iteratio:6100 reward:1 total_reward:3195 episode_reward:3195, loss:0.33 #items:6101 conf. ratio:1.0.
Episode: 0 Iteratio:6200 reward:1 total_reward:3296 episode_reward:3296, loss:0.42 #items:6201 conf. ratio:1.0.
Episode: 0 Iteratio:6300 reward:-1 total_reward:3374 episode_reward:3374, loss:0.37 #items:6301 conf. ratio:1.0.
Episode: 0 Iteratio:6400 reward:-1 total_reward:3280 episode_reward:3280, loss:0.31 #items:6401 conf. ratio:1.0.
Episode: 0 Iteratio:6500 reward:1 total_reward:3208 episode_reward:3208, loss:0.41 #items:6501 conf. ratio:1.0.
Episode: 0 Iteratio:6600 reward:-1 total_reward:3170 episode_reward:3170, loss:0.39 #items:6601 conf. ratio:1.0.
Episode: 0 Iteratio:6700 reward:-1 total_reward:3116 episode_reward:3116, loss:0.39 #items:6701 conf. ratio:1.0.
Episode: 0 Iteratio:6800 reward:1 total_reward:3143 episode_reward:3143, loss:0.33 #items:6801 conf. ratio:1.0.
Episode: 0 Iteratio:6900 reward:1 total_reward:3166 episode_reward:3166, loss:0.37 #items:6901 conf. ratio:1.0.
Episode: 0 Iteratio:7000 reward:0 total_reward:3231 episode_reward:3231, loss:0.36 #items:7001 conf. ratio:1.0.
Total Entries: 7001 More than 1: 0.97 More than 10: 0.94 More than 50: 0.91 Hottest index: 18 [   4.,6996.,   1.,   0.,   0.,   0.]
Episode: 0 Iteratio:7100 reward:1 total_reward:3299 episode_reward:3299, loss:0.27 #items:7101 conf. ratio:1.0.
Episode: 0 Iteratio:7200 reward:1 total_reward:3405 episode_reward:3405, loss:0.4 #items:7201 conf. ratio:1.0.
Episode: 0 Iteratio:7300 reward:1 total_reward:3486 episode_reward:3486, loss:0.41 #items:7301 conf. ratio:1.0.
Episode: 0 Iteratio:7400 reward:-1 total_reward:3447 episode_reward:3447, loss:0.43 #items:7401 conf. ratio:1.0.
Episode: 0 Iteratio:7500 reward:1 total_reward:3481 episode_reward:3481, loss:0.37 #items:7501 conf. ratio:1.0.
Episode: 0 Iteratio:7600 reward:-1 total_reward:3553 episode_reward:3553, loss:0.35 #items:7601 conf. ratio:1.0.
Episode: 0 Iteratio:7700 reward:0 total_reward:3487 episode_reward:3487, loss:0.38 #items:7701 conf. ratio:1.0.
Episode: 0 Iteratio:7800 reward:-1 total_reward:3532 episode_reward:3532, loss:0.41 #items:7801 conf. ratio:1.0.
Episode: 0 Iteratio:7900 reward:0 total_reward:3457 episode_reward:3457, loss:0.34 #items:7901 conf. ratio:1.0.
Episode: 0 Iteratio:8000 reward:0 total_reward:3503 episode_reward:3503, loss:0.42 #items:8001 conf. ratio:1.0.
Total Entries: 8001 More than 1: 0.98 More than 10: 0.94 More than 50: 0.92 Hottest index: 18 [   5.,7995.,   1.,   0.,   0.,   0.]
Episode: 0 Iteratio:8100 reward:-1 total_reward:3445 episode_reward:3445, loss:0.4 #items:8101 conf. ratio:1.0.
Episode: 0 Iteratio:8200 reward:-1 total_reward:3349 episode_reward:3349, loss:0.38 #items:8201 conf. ratio:1.0.
Episode: 0 Iteratio:8300 reward:1 total_reward:3290 episode_reward:3290, loss:0.39 #items:8301 conf. ratio:1.0.
Episode: 0 Iteratio:8400 reward:0 total_reward:3379 episode_reward:3379, loss:0.43 #items:8401 conf. ratio:1.0.
Episode: 0 Iteratio:8500 reward:0 total_reward:3478 episode_reward:3478, loss:0.46 #items:8501 conf. ratio:1.0.
Episode: 0 Iteratio:8600 reward:-1 total_reward:3380 episode_reward:3380, loss:0.33 #items:8601 conf. ratio:1.0.
Episode: 0 Iteratio:8700 reward:1 total_reward:3339 episode_reward:3339, loss:0.32 #items:8701 conf. ratio:1.0.
Episode: 0 Iteratio:8800 reward:1 total_reward:3400 episode_reward:3400, loss:0.5 #items:8801 conf. ratio:1.0.
Episode: 0 Iteratio:8900 reward:0 total_reward:3379 episode_reward:3379, loss:0.42 #items:8901 conf. ratio:1.0.
Episode: 0 Iteratio:9000 reward:2 total_reward:3469 episode_reward:3469, loss:0.41 #items:9001 conf. ratio:1.0.
Total Entries: 9001 More than 1: 0.98 More than 10: 0.94 More than 50: 0.92 Hottest index: 18 [   5.,8995.,   1.,   0.,   0.,   0.]
Episode: 0 Iteratio:9100 reward:-1 total_reward:3488 episode_reward:3488, loss:0.48 #items:9101 conf. ratio:1.0.
Episode: 0 Iteratio:9200 reward:-1 total_reward:3390 episode_reward:3390, loss:0.3 #items:9201 conf. ratio:1.0.
Episode: 0 Iteratio:9300 reward:-1 total_reward:3295 episode_reward:3295, loss:0.49 #items:9301 conf. ratio:1.0.
Episode: 0 Iteratio:9400 reward:-1 total_reward:3199 episode_reward:3199, loss:0.41 #items:9401 conf. ratio:1.0.
Episode: 0 Iteratio:9500 reward:-1 total_reward:3129 episode_reward:3129, loss:0.45 #items:9501 conf. ratio:1.0.
Episode: 0 Iteratio:9600 reward:1 total_reward:3052 episode_reward:3052, loss:0.38 #items:9601 conf. ratio:1.0.
Episode: 0 Iteratio:9700 reward:1 total_reward:2981 episode_reward:2981, loss:0.34 #items:9701 conf. ratio:1.0.
Episode: 0 Iteratio:9800 reward:2 total_reward:3105 episode_reward:3105, loss:0.5 #items:9801 conf. ratio:1.0.
Episode: 0 Iteratio:9900 reward:-1 total_reward:3025 episode_reward:3025, loss:0.38 #items:9901 conf. ratio:1.0.
Episode: 0 Iteratio:10000 reward:-1 total_reward:2932 episode_reward:2932, loss:0.38 #items:10000 conf. ratio:1.0.
Total Entries: 10001 More than 1: 0.98 More than 10: 0.94 More than 50: 0.92 Hottest index: 33 [   6.,9994.,   1.,   0.,   0.,   0.]
Episode: 0 Iteratio:10100 reward:1 total_reward:2929 episode_reward:2929, loss:0.48 #items:10000 conf. ratio:1.0.
Episode: 0 Iteratio:10200 reward:1 total_reward:3007 episode_reward:3007, loss:0.45 #items:10000 conf. ratio:1.0.
Episode: 0 Iteratio:10300 reward:-1 total_reward:2991 episode_reward:2991, loss:0.42 #items:10000 conf. ratio:1.0.
Episode: 0 Iteratio:10400 reward:-1 total_reward:2893 episode_reward:2893, loss:0.36 #items:10000 conf. ratio:1.0.
Episode: 0 Iteratio:10500 reward:-1 total_reward:2794 episode_reward:2794, loss:0.34 #items:10000 conf. ratio:1.0.
Episode: 0 Iteratio:10600 reward:0 total_reward:2743 episode_reward:2743, loss:0.43 #items:10000 conf. ratio:1.0.
Episode: 0 Iteratio:10700 reward:0 total_reward:2714 episode_reward:2714, loss:0.43 #items:10000 conf. ratio:1.0.
Episode: 0 Iteratio:10800 reward:-1 total_reward:2617 episode_reward:2617, loss:0.42 #items:10000 conf. ratio:1.0.
Episode: 0 Iteratio:10900 reward:-1 total_reward:2573 episode_reward:2573, loss:0.32 #items:10000 conf. ratio:1.0.
Episode: 0 Iteratio:11000 reward:1 total_reward:2557 episode_reward:2557, loss:0.4 #items:10000 conf. ratio:1.0.
Total Entries: 11001 More than 1: 0.98 More than 10: 0.94 More than 50: 0.93 Hottest index: 33 [    6.,10994.,    1.,    0.,    0.,    0.]
Episode: 0 Iteratio:11100 reward:-1 total_reward:2483 episode_reward:2483, loss:0.33 #items:10000 conf. ratio:1.0.
Episode: 0 Iteratio:11200 reward:-1 total_reward:2389 episode_reward:2389, loss:0.48 #items:10000 conf. ratio:1.0.
Episode: 0 Iteratio:11300 reward:-1 total_reward:2294 episode_reward:2294, loss:0.48 #items:10000 conf. ratio:1.0.
Episode: 0 Iteratio:11400 reward:-1 total_reward:2348 episode_reward:2348, loss:0.34 #items:10000 conf. ratio:1.0.
Episode: 0 Iteratio:11500 reward:-1 total_reward:2313 episode_reward:2313, loss:0.38 #items:10000 conf. ratio:1.0.
Episode: 0 Iteratio:11600 reward:2 total_reward:2313 episode_reward:2313, loss:0.41 #items:10000 conf. ratio:1.0.
Episode: 0 Iteratio:11700 reward:2 total_reward:2430 episode_reward:2430, loss:0.51 #items:10000 conf. ratio:1.0.
Episode: 0 Iteratio:11800 reward:-1 total_reward:2330 episode_reward:2330, loss:0.49 #items:10000 conf. ratio:1.0.
Episode: 0 Iteratio:11900 reward:-1 total_reward:2243 episode_reward:2243, loss:0.49 #items:10000 conf. ratio:1.0.
Episode: 0 Iteratio:12000 reward:-1 total_reward:2198 episode_reward:2198, loss:0.52 #items:10000 conf. ratio:1.0.
Total Entries: 12001 More than 1: 0.98 More than 10: 0.94 More than 50: 0.93 Hottest index: 33 [    6.,11994.,    1.,    0.,    0.,    0.]
Episode: 0 Iteratio:12100 reward:-1 total_reward:2105 episode_reward:2105, loss:0.4 #items:10000 conf. ratio:1.0.
Episode: 0 Iteratio:12200 reward:2 total_reward:2063 episode_reward:2063, loss:0.48 #items:10000 conf. ratio:1.0.
Episode: 0 Iteratio:12300 reward:-1 total_reward:2007 episode_reward:2007, loss:0.43 #items:10000 conf. ratio:1.0.
Episode: 0 Iteratio:12400 reward:1 total_reward:1934 episode_reward:1934, loss:0.38 #items:10000 conf. ratio:1.0.
Episode: 0 Iteratio:12500 reward:-1 total_reward:1985 episode_reward:1985, loss:0.42 #items:10000 conf. ratio:1.0.
Episode: 0 Iteratio:12600 reward:-1 total_reward:1885 episode_reward:1885, loss:0.49 #items:10000 conf. ratio:1.0.
Episode: 0 Iteratio:12700 reward:-1 total_reward:1862 episode_reward:1862, loss:0.48 #items:10000 conf. ratio:1.0.
Episode: 0 Iteratio:12800 reward:-1 total_reward:1762 episode_reward:1762, loss:0.45 #items:10000 conf. ratio:1.0.
Episode: 0 Iteratio:12900 reward:-1 total_reward:1800 episode_reward:1800, loss:0.43 #items:10000 conf. ratio:1.0.
Episode: 0 Iteratio:13000 reward:0 total_reward:1903 episode_reward:1903, loss:0.44 #items:10000 conf. ratio:1.0.
Total Entries: 13001 More than 1: 0.98 More than 10: 0.94 More than 50: 0.93 Hottest index: 219 [    6.,12994.,    1.,    0.,    0.,    0.]
Episode: 0 Iteratio:13100 reward:2 total_reward:1808 episode_reward:1808, loss:0.41 #items:10000 conf. ratio:1.0.
Episode: 0 Iteratio:13200 reward:2 total_reward:1759 episode_reward:1759, loss:0.45 #items:10000 conf. ratio:1.0.
Episode: 0 Iteratio:13300 reward:-1 total_reward:1775 episode_reward:1775, loss:0.49 #items:10000 conf. ratio:1.0.
Episode: 0 Iteratio:13400 reward:2 total_reward:1866 episode_reward:1866, loss:0.42 #items:10000 conf. ratio:1.0.
Episode: 0 Iteratio:13500 reward:-1 total_reward:1947 episode_reward:1947, loss:0.44 #items:10000 conf. ratio:1.0.
Episode: 0 Iteratio:13600 reward:-1 total_reward:1847 episode_reward:1847, loss:0.45 #items:10000 conf. ratio:1.0.
Episode: 0 Iteratio:13700 reward:0 total_reward:1792 episode_reward:1792, loss:0.46 #items:10000 conf. ratio:1.0.
