,S_core0.decode.blockedCycles,S_core0.fetch.cycles,S_core0.numCycles,S_core0.numSimulatedInsts,S_core0.rename.LQFullEvents,S_core0.rename.unblockCycles,S_core0.rob.reads,S_core0.switch_cpus0.numRate,S_core0.system.cpu0.dcache.ReadReq.mshrMissRate::total,S_core0.system.cpu0.dcache.prefetcher.prefetchers1.pfIssued,S_core0.system.switch_cpus0.issueRate,S_core0.timesIdled,S_core0.l2cache.ReadReq.hits::total,S_core0.l2cache.demandAccesses::total,S_core1.decode.blockedCycles,S_core1.fetch.cycles,S_core1.numCycles,S_core1.numSimulatedInsts,S_core1.rename.LQFullEvents,S_core1.rename.unblockCycles,S_core1.rob.reads,S_core1.switch_cpus0.numRate,S_core1.system.cpu0.dcache.ReadReq.mshrMissRate::total,S_core1.system.cpu0.dcache.prefetcher.prefetchers1.pfIssued,S_core1.system.switch_cpus0.issueRate,S_core1.timesIdled,S_core1.l2cache.ReadReq.hits::total,S_core1.l2cache.demandAccesses::total,S_core2.decode.blockedCycles,S_core2.fetch.cycles,S_core2.numCycles,S_core2.numSimulatedInsts,S_core2.rename.LQFullEvents,S_core2.rename.unblockCycles,S_core2.rob.reads,S_core2.switch_cpus0.numRate,S_core2.system.cpu0.dcache.ReadReq.mshrMissRate::total,S_core2.system.cpu0.dcache.prefetcher.prefetchers1.pfIssued,S_core2.system.switch_cpus0.issueRate,S_core2.timesIdled,S_core2.l2cache.ReadReq.hits::total,S_core2.l2cache.demandAccesses::total,S_core3.decode.blockedCycles,S_core3.fetch.cycles,S_core3.numCycles,S_core3.numSimulatedInsts,S_core3.rename.LQFullEvents,S_core3.rename.unblockCycles,S_core3.rob.reads,S_core3.switch_cpus0.numRate,S_core3.system.cpu0.dcache.ReadReq.mshrMissRate::total,S_core3.system.cpu0.dcache.prefetcher.prefetchers1.pfIssued,S_core3.system.switch_cpus0.issueRate,S_core3.timesIdled,S_core3.l2cache.ReadReq.hits::total,S_core3.l2cache.demandAccesses::total,S_core3.ReadSharedReq.mshrMisses::total,S_core3.mem_ctrls.numStayReadState,S_core3.mem_ctrls.rdQLenPdf::3,S_core3.mem_ctrls.totGap,S_core3.system.l3.ReadSharedReq.accesses::total,S_core3.system.l3.demandAccesses::total,S_core3.system.l3.prefetcher.prefetchersx.pfSpanPage,S_core3.system.l3.tags.totalRefs,S_core3.system.mem_ctrls.requestorReadAccesses::cpu0.dcache.prefetcher.prefetchers1,NS_core0.decode.blockedCycles,NS_core0.fetch.cycles,NS_core0.numCycles,NS_core0.numSimulatedInsts,NS_core0.rename.LQFullEvents,NS_core0.rename.unblockCycles,NS_core0.rob.reads,NS_core0.switch_cpus0.numRate,NS_core0.system.cpu0.dcache.ReadReq.mshrMissRate::total,NS_core0.system.cpu0.dcache.prefetcher.prefetchers1.pfIssued,NS_core0.system.switch_cpus0.issueRate,NS_core0.timesIdled,NS_core0.l2cache.ReadReq.hits::total,NS_core0.l2cache.demandAccesses::total,NS_core1.decode.blockedCycles,NS_core1.fetch.cycles,NS_core1.numCycles,NS_core1.numSimulatedInsts,NS_core1.rename.LQFullEvents,NS_core1.rename.unblockCycles,NS_core1.rob.reads,NS_core1.switch_cpus0.numRate,NS_core1.system.cpu0.dcache.ReadReq.mshrMissRate::total,NS_core1.system.cpu0.dcache.prefetcher.prefetchers1.pfIssued,NS_core1.system.switch_cpus0.issueRate,NS_core1.timesIdled,NS_core1.l2cache.ReadReq.hits::total,NS_core1.l2cache.demandAccesses::total,NS_core2.decode.blockedCycles,NS_core2.fetch.cycles,NS_core2.numCycles,NS_core2.numSimulatedInsts,NS_core2.rename.LQFullEvents,NS_core2.rename.unblockCycles,NS_core2.rob.reads,NS_core2.switch_cpus0.numRate,NS_core2.system.cpu0.dcache.ReadReq.mshrMissRate::total,NS_core2.system.cpu0.dcache.prefetcher.prefetchers1.pfIssued,NS_core2.system.switch_cpus0.issueRate,NS_core2.timesIdled,NS_core2.l2cache.ReadReq.hits::total,NS_core2.l2cache.demandAccesses::total,NS_core3.decode.blockedCycles,NS_core3.fetch.cycles,NS_core3.numCycles,NS_core3.numSimulatedInsts,NS_core3.rename.LQFullEvents,NS_core3.rename.unblockCycles,NS_core3.rob.reads,NS_core3.switch_cpus0.numRate,NS_core3.system.cpu0.dcache.ReadReq.mshrMissRate::total,NS_core3.system.cpu0.dcache.prefetcher.prefetchers1.pfIssued,NS_core3.system.switch_cpus0.issueRate,NS_core3.timesIdled,NS_core3.l2cache.ReadReq.hits::total,NS_core3.l2cache.demandAccesses::total,NS_core3.ReadSharedReq.mshrMisses::total,NS_core3.mem_ctrls.numStayReadState,NS_core3.mem_ctrls.rdQLenPdf::3,NS_core3.mem_ctrls.totGap,NS_core3.system.l3.ReadSharedReq.accesses::total,NS_core3.system.l3.demandAccesses::total,NS_core3.system.l3.prefetcher.prefetchersx.pfSpanPage,NS_core3.system.l3.tags.totalRefs,NS_core3.system.mem_ctrls.requestorReadAccesses::cpu0.dcache.prefetcher.prefetchers1,Core0.L1.P0.degree,Core0.L1.P1.degree,Core0.L2.P0.degree,Core0.L2.P1.degree,Core1.L1.P0.degree,Core1.L1.P1.degree,Core1.L2.P0.degree,Core1.L2.P1.degree,Core2.L1.P0.degree,Core2.L1.P1.degree,Core2.L2.P0.degree,Core2.L2.P1.degree,Core3.L1.P0.degree,Core3.L1.P1.degree,Core3.L2.P0.degree,Core3.L2.P1.degree,LLC.P0.degree,LLC.P1.degree,LLC.P2.degree
mix0.t11.0,5204690.0,8338040.0,18158912.0,94617414.0,2425170.0,2436741.0,30014061.0,0.6764256030317235,0.045798091966732936,563805.0,0.6876413630948814,410.0,191757.0,853113.0,2115056.0,7081915.0,18158912.0,94617414.0,647139.0,775218.0,41993616.0,1.379832668388943,0.0007748630423612141,41105.0,1.3858970184997867,3326.0,28698.0,72342.0,1514022.0,8185002.0,18158912.0,94617414.0,548126.0,685305.0,58286719.0,2.3678729760901973,0.006800799472775089,734987.0,2.369918418019758,382.0,3736.0,280826.0,12386166.0,13441131.0,18158912.0,94617414.0,274188.0,6720068.0,40240132.0,1.399705775323984,0.008295797603892227,824845.0,1.401554564502543,323.0,30716.0,1671920.0,182446.0,641353.0,12161.0,4957314180.0,767762.0,848019.0,916348.0,897659.0,513558.0,5865231.0,8933256.0,18472049.0,81915993.0,2782685.0,2791206.0,30232204.0,0.6506100649689701,0.05233388355079691,0.0,0.6611406238690684,503.0,210884.0,460831.0,4200936.0,7123407.0,18471817.0,81915993.0,1301646.0,1478206.0,33686574.0,0.9086204134655513,0.007239447229951218,320888.0,0.9197916480008437,34612.0,165568.0,565736.0,1313643.0,8249415.0,18472049.0,81915993.0,439000.0,591177.0,60322712.0,2.4240703345903856,0.006630762131016155,1155221.0,2.425826555570527,418.0,2796.0,349125.0,14342979.0,15100251.0,18472049.0,81915993.0,810264.0,7524283.0,34426032.0,1.0189051035973324,0.010208083091553752,826919.0,1.020829416379309,359.0,30141.0,1534408.0,180330.0,595578.0,9563.0,5042823786.0,695487.0,801533.0,2428050.0,1857333.0,494645.0,0,0,2,3,2,3,0,3,2,3,2,2,3,3,2,0,2,5,0
mix0.t11.1,5865231.0,8933256.0,18472049.0,81915993.0,2782685.0,2791206.0,30232204.0,0.6506100649689701,0.05233388355079691,0.0,0.6611406238690684,503.0,210884.0,460831.0,4200936.0,7123407.0,18471817.0,81915993.0,1301646.0,1478206.0,33686574.0,0.9086204134655513,0.007239447229951218,320888.0,0.9197916480008437,34612.0,165568.0,565736.0,1313643.0,8249415.0,18472049.0,81915993.0,439000.0,591177.0,60322712.0,2.4240703345903856,0.006630762131016155,1155221.0,2.425826555570527,418.0,2796.0,349125.0,14342979.0,15100251.0,18472049.0,81915993.0,810264.0,7524283.0,34426032.0,1.0189051035973324,0.010208083091553752,826919.0,1.020829416379309,359.0,30141.0,1534408.0,180330.0,595578.0,9563.0,5042823786.0,695487.0,801533.0,2428050.0,1857333.0,494645.0,5318667.0,8461107.0,18251897.0,82980245.0,2524740.0,2538446.0,30206671.0,0.6783619806752142,0.046953710693978634,696958.0,0.689763425686656,647.0,196632.0,960589.0,4769115.0,7114247.0,18252131.0,82980245.0,1351911.0,1549409.0,31806289.0,0.8271448961219926,0.011683338714044426,435147.0,0.8402560227077046,72814.0,200345.0,713467.0,1650158.0,8318603.0,18251897.0,82980245.0,612668.0,793536.0,58800284.0,2.376862799521606,0.007004980127883518,1137158.0,2.378777559395607,446.0,3213.0,382279.0,13111402.0,14063363.0,18251898.0,82980245.0,52140.0,5501869.0,38246028.0,1.2053211123577394,0.008408442894901641,1689217.0,1.2069545315232422,478.0,27063.0,1375241.0,443197.0,640320.0,28021.0,4982813472.0,763991.0,793357.0,0.0,1604135.0,382960.0,3,2,4,4,3,3,1,1,4,3,4,2,0,3,4,1,0,0,0
mix0.t11.2,5318667.0,8461107.0,18251897.0,82980245.0,2524740.0,2538446.0,30206671.0,0.6783619806752142,0.046953710693978634,696958.0,0.689763425686656,647.0,196632.0,960589.0,4769115.0,7114247.0,18252131.0,82980245.0,1351911.0,1549409.0,31806289.0,0.8271448961219926,0.011683338714044426,435147.0,0.8402560227077046,72814.0,200345.0,713467.0,1650158.0,8318603.0,18251897.0,82980245.0,612668.0,793536.0,58800284.0,2.376862799521606,0.007004980127883518,1137158.0,2.378777559395607,446.0,3213.0,382279.0,13111402.0,14063363.0,18251898.0,82980245.0,52140.0,5501869.0,38246028.0,1.2053211123577394,0.008408442894901641,1689217.0,1.2069545315232422,478.0,27063.0,1375241.0,443197.0,640320.0,28021.0,4982813472.0,763991.0,793357.0,0.0,1604135.0,382960.0,4872972.0,8027431.0,17888840.0,89908651.0,2235202.0,2249621.0,29940809.0,0.6932606026997837,0.04951734593679376,1042678.0,0.7050674610539308,718.0,193710.0,1158124.0,3897105.0,7527753.0,17888840.0,89908651.0,1488563.0,1641283.0,36855156.0,1.1166236044371798,0.004922342214704621,227353.0,1.1258269401481593,87390.0,116085.0,364722.0,1083151.0,7865640.0,17888840.0,89908651.0,412150.0,564083.0,58870841.0,2.450152497311173,0.006741338327683755,955898.0,2.4520636888697087,457.0,3247.0,324805.0,12497855.0,13398510.0,17888840.0,89908651.0,143040.0,5715401.0,39307350.0,1.3348570952616268,0.011605731953673051,1690594.0,1.3367805290896446,542.0,30551.0,1571235.0,129809.0,607825.0,13878.0,4883597556.0,845526.0,904907.0,1941404.0,1841239.0,487038.0,0,3,0,2,4,2,3,4,1,2,1,0,0,1,0,2,2,5,3
mix0.t11.3,4872972.0,8027431.0,17888840.0,89908651.0,2235202.0,2249621.0,29940809.0,0.6932606026997837,0.04951734593679376,1042678.0,0.7050674610539308,718.0,193710.0,1158124.0,3897105.0,7527753.0,17888840.0,89908651.0,1488563.0,1641283.0,36855156.0,1.1166236044371798,0.004922342214704621,227353.0,1.1258269401481593,87390.0,116085.0,364722.0,1083151.0,7865640.0,17888840.0,89908651.0,412150.0,564083.0,58870841.0,2.450152497311173,0.006741338327683755,955898.0,2.4520636888697087,457.0,3247.0,324805.0,12497855.0,13398510.0,17888840.0,89908651.0,143040.0,5715401.0,39307350.0,1.3348570952616268,0.011605731953673051,1690594.0,1.3367805290896446,542.0,30551.0,1571235.0,129809.0,607825.0,13878.0,4883597556.0,845526.0,904907.0,1941404.0,1841239.0,487038.0,4887595.0,8047145.0,17862574.0,91424817.0,2273983.0,2287272.0,29853460.0,0.6917953705888077,0.046436377448480705,749073.0,0.7035226837968593,796.0,192077.0,997266.0,3151147.0,7223800.0,17862574.0,91424817.0,1012681.0,1178076.0,38044643.0,1.2009035203996916,0.002809879593098055,200567.0,1.2086333694124933,97092.0,72918.0,262949.0,1408430.0,8045312.0,17862574.0,91424817.0,599283.0,744391.0,57981318.0,2.402938568651976,0.006600091765538635,1142829.0,2.4047806323993397,472.0,2480.0,314084.0,12192209.0,13193315.0,17862574.0,91424817.0,225316.0,6377945.0,40262839.0,1.4462040017300979,0.00794890114210118,1097141.0,1.4484001577824115,555.0,33452.0,1703889.0,166917.0,604668.0,9188.0,4876531368.0,838353.0,939045.0,2792461.0,2205681.0,521794.0,2,2,1,1,1,4,1,0,0,3,0,4,4,4,1,1,3,4,5
mix0.t11.4,4887595.0,8047145.0,17862574.0,91424817.0,2273983.0,2287272.0,29853460.0,0.6917953705888077,0.046436377448480705,749073.0,0.7035226837968593,796.0,192077.0,997266.0,3151147.0,7223800.0,17862574.0,91424817.0,1012681.0,1178076.0,38044643.0,1.2009035203996916,0.002809879593098055,200567.0,1.2086333694124933,97092.0,72918.0,262949.0,1408430.0,8045312.0,17862574.0,91424817.0,599283.0,744391.0,57981318.0,2.402938568651976,0.006600091765538635,1142829.0,2.4047806323993397,472.0,2480.0,314084.0,12192209.0,13193315.0,17862574.0,91424817.0,225316.0,6377945.0,40262839.0,1.4462040017300979,0.00794890114210118,1097141.0,1.4484001577824115,555.0,33452.0,1703889.0,166917.0,604668.0,9188.0,4876531368.0,838353.0,939045.0,2792461.0,2205681.0,521794.0,4812765.0,7951137.0,17575974.0,82869856.0,2341316.0,2349126.0,29350982.0,0.6864594815627287,0.042573837881806575,0.0,0.6974857268223087,878.0,193516.0,447074.0,4980112.0,7125052.0,17575976.0,82869856.0,1591762.0,1790685.0,29874429.0,0.776470962409143,0.012110792129642271,0.0,0.7886460473091224,137247.0,181216.0,467606.0,1209566.0,7813963.0,17575974.0,82869856.0,517488.0,661287.0,57463583.0,2.4277861357783075,0.006086961402775044,1154549.0,2.42965402657059,483.0,3267.0,320551.0,11937880.0,13032217.0,17575974.0,82869856.0,264393.0,5883475.0,39264998.0,1.378315307020823,0.0085144758593275,1774698.0,1.3805729343932802,571.0,33511.0,1833451.0,137637.0,594208.0,15007.0,4798210632.0,783923.0,854586.0,1411503.0,1894358.0,451840.0,2,0,0,1,2,0,1,3,0,4,3,2,0,2,3,4,4,2,3
mix0.t11.5,4812765.0,7951137.0,17575974.0,82869856.0,2341316.0,2349126.0,29350982.0,0.6864594815627287,0.042573837881806575,0.0,0.6974857268223087,878.0,193516.0,447074.0,4980112.0,7125052.0,17575976.0,82869856.0,1591762.0,1790685.0,29874429.0,0.776470962409143,0.012110792129642271,0.0,0.7886460473091224,137247.0,181216.0,467606.0,1209566.0,7813963.0,17575974.0,82869856.0,517488.0,661287.0,57463583.0,2.4277861357783075,0.006086961402775044,1154549.0,2.42965402657059,483.0,3267.0,320551.0,11937880.0,13032217.0,17575974.0,82869856.0,264393.0,5883475.0,39264998.0,1.378315307020823,0.0085144758593275,1774698.0,1.3805729343932802,571.0,33511.0,1833451.0,137637.0,594208.0,15007.0,4798210632.0,783923.0,854586.0,1411503.0,1894358.0,451840.0,4904092.0,8034754.0,17661590.0,88424403.0,2432053.0,2440657.0,29409210.0,0.6822362539273078,0.042689049653858224,0.0,0.693178586978862,1022.0,194609.0,448742.0,2852680.0,6072085.0,17661591.0,88424403.0,591822.0,803603.0,35661089.0,1.0803799612390526,0.006107834298519861,0.0,1.0908020121177078,158895.0,147128.0,424030.0,1106001.0,7769856.0,17661590.0,88424403.0,376327.0,548198.0,58121832.0,2.4520796259000464,0.007445157602040917,1234663.0,2.453851889892133,527.0,2684.0,380439.0,12291334.0,13172661.0,17661590.0,88424403.0,202538.0,6791188.0,39154458.0,1.422875233770006,0.00964940087267855,781108.0,1.4250843214002815,599.0,33052.0,1767235.0,141469.0,562739.0,16681.0,4821651438.0,711320.0,825663.0,856165.0,1770879.0,416082.0,2,0,4,1,3,0,2,1,1,3,1,0,3,1,3,2,0,0,5
mix0.t11.6,4904092.0,8034754.0,17661590.0,88424403.0,2432053.0,2440657.0,29409210.0,0.6822362539273078,0.042689049653858224,0.0,0.693178586978862,1022.0,194609.0,448742.0,2852680.0,6072085.0,17661591.0,88424403.0,591822.0,803603.0,35661089.0,1.0803799612390526,0.006107834298519861,0.0,1.0908020121177078,158895.0,147128.0,424030.0,1106001.0,7769856.0,17661590.0,88424403.0,376327.0,548198.0,58121832.0,2.4520796259000464,0.007445157602040917,1234663.0,2.453851889892133,527.0,2684.0,380439.0,12291334.0,13172661.0,17661590.0,88424403.0,202538.0,6791188.0,39154458.0,1.422875233770006,0.00964940087267855,781108.0,1.4250843214002815,599.0,33052.0,1767235.0,141469.0,562739.0,16681.0,4821651438.0,711320.0,825663.0,856165.0,1770879.0,416082.0,4941639.0,8088830.0,17853460.0,82477340.0,2326867.0,2337355.0,29806483.0,0.6902990232705594,0.04590108724437324,567804.0,0.7018071567079994,1096.0,193102.0,863906.0,2648949.0,4756720.0,17853460.0,82477340.0,843208.0,968190.0,31689487.0,0.8290264744200844,0.023463274410385728,0.0,0.847466485487967,211825.0,357145.0,880963.0,1276281.0,8007925.0,17853460.0,82477340.0,445335.0,549944.0,58092713.0,2.411093031826884,0.006545492280220023,726876.0,2.4128720147243166,550.0,2591.0,270296.0,12631516.0,13556629.0,17853460.0,82477340.0,195437.0,6252895.0,38472835.0,1.3207208574696445,0.007372909440713065,1089728.0,1.3226877591234416,614.0,30109.0,1604851.0,165414.0,545772.0,13998.0,4873991562.0,727456.0,809039.0,1202659.0,1793059.0,418266.0,3,1,1,3,3,0,0,4,2,1,0,1,2,3,0,2,4,2,0
mix0.t11.7,4941639.0,8088830.0,17853460.0,82477340.0,2326867.0,2337355.0,29806483.0,0.6902990232705594,0.04590108724437324,567804.0,0.7018071567079994,1096.0,193102.0,863906.0,2648949.0,4756720.0,17853460.0,82477340.0,843208.0,968190.0,31689487.0,0.8290264744200844,0.023463274410385728,0.0,0.847466485487967,211825.0,357145.0,880963.0,1276281.0,8007925.0,17853460.0,82477340.0,445335.0,549944.0,58092713.0,2.411093031826884,0.006545492280220023,726876.0,2.4128720147243166,550.0,2591.0,270296.0,12631516.0,13556629.0,17853460.0,82477340.0,195437.0,6252895.0,38472835.0,1.3207208574696445,0.007372909440713065,1089728.0,1.3226877591234416,614.0,30109.0,1604851.0,165414.0,545772.0,13998.0,4873991562.0,727456.0,809039.0,1202659.0,1793059.0,418266.0,5283865.0,8363628.0,17903893.0,87335874.0,2468982.0,2477309.0,29680296.0,0.6718705255890437,0.051976420407552404,0.0,0.6827541362093708,1171.0,209378.0,457306.0,2752930.0,5176788.0,17903895.0,87335874.0,915422.0,1019232.0,32781336.0,0.8799602544585968,0.016966928517997696,0.0,0.8961853272709653,256053.0,310308.0,764912.0,1123316.0,7979209.0,17903893.0,87335874.0,403482.0,459856.0,58546080.0,2.4253420191910218,0.009304610835321284,0.0,2.4270918062345435,569.0,2562.0,194236.0,11902192.0,12954643.0,17903893.0,87335874.0,103887.0,6223903.0,41674540.0,1.526248844315591,0.008050786082109494,881585.0,1.5282970580755817,630.0,32721.0,1787430.0,123433.0,528329.0,12669.0,4887763000.0,719559.0,817177.0,1395755.0,1855110.0,419933.0,0,0,2,1,2,0,1,3,3,0,2,2,2,1,4,1,4,1,5
mix0.t11.8,5283865.0,8363628.0,17903893.0,87335874.0,2468982.0,2477309.0,29680296.0,0.6718705255890437,0.051976420407552404,0.0,0.6827541362093708,1171.0,209378.0,457306.0,2752930.0,5176788.0,17903895.0,87335874.0,915422.0,1019232.0,32781336.0,0.8799602544585968,0.016966928517997696,0.0,0.8961853272709653,256053.0,310308.0,764912.0,1123316.0,7979209.0,17903893.0,87335874.0,403482.0,459856.0,58546080.0,2.4253420191910218,0.009304610835321284,0.0,2.4270918062345435,569.0,2562.0,194236.0,11902192.0,12954643.0,17903893.0,87335874.0,103887.0,6223903.0,41674540.0,1.526248844315591,0.008050786082109494,881585.0,1.5282970580755817,630.0,32721.0,1787430.0,123433.0,528329.0,12669.0,4887763000.0,719559.0,817177.0,1395755.0,1855110.0,419933.0,6045117.0,9197126.0,19033090.0,67033125.0,2893329.0,2908193.0,31051299.0,0.6551694443729316,0.04909985149023964,1012982.0,0.6661752243067206,1241.0,196932.0,1169129.0,4047175.0,7071043.0,19033090.0,67033125.0,1332076.0,1543614.0,36007158.0,0.9654510118955987,0.007898455162657093,317019.0,0.9745866803551079,280614.0,163013.0,602648.0,10132485.0,13466371.0,19033090.0,67033125.0,203158.0,6734776.0,41174215.0,1.2658767441335064,0.009900977466019378,0.0,1.270889172488545,1054.0,28119.0,457256.0,13991983.0,14877967.0,19033090.0,67033125.0,68595.0,6854377.0,38984269.0,1.2010481219812443,0.007105638847284768,943040.0,1.2026023099769927,647.0,26801.0,1537512.0,304246.0,734772.0,7643.0,5196034467.0,957951.0,1064148.0,2357937.0,2456453.0,627952.0,1,4,3,0,3,2,3,0,2,0,1,0,4,4,2,3,2,3,0
mix0.t11.9,6045117.0,9197126.0,19033090.0,67033125.0,2893329.0,2908193.0,31051299.0,0.6551694443729316,0.04909985149023964,1012982.0,0.6661752243067206,1241.0,196932.0,1169129.0,4047175.0,7071043.0,19033090.0,67033125.0,1332076.0,1543614.0,36007158.0,0.9654510118955987,0.007898455162657093,317019.0,0.9745866803551079,280614.0,163013.0,602648.0,10132485.0,13466371.0,19033090.0,67033125.0,203158.0,6734776.0,41174215.0,1.2658767441335064,0.009900977466019378,0.0,1.270889172488545,1054.0,28119.0,457256.0,13991983.0,14877967.0,19033090.0,67033125.0,68595.0,6854377.0,38984269.0,1.2010481219812443,0.007105638847284768,943040.0,1.2026023099769927,647.0,26801.0,1537512.0,304246.0,734772.0,7643.0,5196034467.0,957951.0,1064148.0,2357937.0,2456453.0,627952.0,4828013.0,7974013.0,17846446.0,78340550.0,2203976.0,2218933.0,29892140.0,0.6980473311044675,0.04860281468905472,914763.0,0.7099808555720282,1379.0,192799.0,1119000.0,2297757.0,4373155.0,17846446.0,78340550.0,776951.0,879566.0,32216083.0,0.8561078771650109,0.024886630266808867,785423.0,0.8751167599420075,339056.0,380727.0,1331381.0,5153747.0,9157921.0,17846446.0,78340550.0,3055393.0,4040327.0,52023746.0,2.094209681860467,0.018280373684054996,1103908.0,2.095141407986778,1382.0,2677.0,666278.0,12018859.0,13028734.0,17846446.0,78340550.0,51472.0,6729529.0,40971765.0,1.4849573971198524,0.007538517743552078,835411.0,1.4868850638384807,684.0,31160.0,1639200.0,147885.0,568345.0,15018.0,4872060920.0,778207.0,873380.0,1020038.0,1772001.0,448791.0,4,3,3,0,1,2,4,2,0,1,0,1,4,1,1,1,2,0,5
