,S_core0.decode.blockedCycles,S_core0.fetch.cycles,S_core0.numCycles,S_core0.numSimulatedInsts,S_core0.rename.LQFullEvents,S_core0.rename.unblockCycles,S_core0.rob.reads,S_core0.switch_cpus0.numRate,S_core0.system.cpu0.dcache.ReadReq.mshrMissRate::total,S_core0.system.cpu0.dcache.prefetcher.prefetchers1.pfIssued,S_core0.system.switch_cpus0.issueRate,S_core0.timesIdled,S_core0.l2cache.ReadReq.hits::total,S_core0.l2cache.demandAccesses::total,S_core1.decode.blockedCycles,S_core1.fetch.cycles,S_core1.numCycles,S_core1.numSimulatedInsts,S_core1.rename.LQFullEvents,S_core1.rename.unblockCycles,S_core1.rob.reads,S_core1.switch_cpus0.numRate,S_core1.system.cpu0.dcache.ReadReq.mshrMissRate::total,S_core1.system.cpu0.dcache.prefetcher.prefetchers1.pfIssued,S_core1.system.switch_cpus0.issueRate,S_core1.timesIdled,S_core1.l2cache.ReadReq.hits::total,S_core1.l2cache.demandAccesses::total,S_core2.decode.blockedCycles,S_core2.fetch.cycles,S_core2.numCycles,S_core2.numSimulatedInsts,S_core2.rename.LQFullEvents,S_core2.rename.unblockCycles,S_core2.rob.reads,S_core2.switch_cpus0.numRate,S_core2.system.cpu0.dcache.ReadReq.mshrMissRate::total,S_core2.system.cpu0.dcache.prefetcher.prefetchers1.pfIssued,S_core2.system.switch_cpus0.issueRate,S_core2.timesIdled,S_core2.l2cache.ReadReq.hits::total,S_core2.l2cache.demandAccesses::total,S_core3.decode.blockedCycles,S_core3.fetch.cycles,S_core3.numCycles,S_core3.numSimulatedInsts,S_core3.rename.LQFullEvents,S_core3.rename.unblockCycles,S_core3.rob.reads,S_core3.switch_cpus0.numRate,S_core3.system.cpu0.dcache.ReadReq.mshrMissRate::total,S_core3.system.cpu0.dcache.prefetcher.prefetchers1.pfIssued,S_core3.system.switch_cpus0.issueRate,S_core3.timesIdled,S_core3.l2cache.ReadReq.hits::total,S_core3.l2cache.demandAccesses::total,S_core3.ReadSharedReq.mshrMisses::total,S_core3.mem_ctrls.numStayReadState,S_core3.mem_ctrls.rdQLenPdf::3,S_core3.mem_ctrls.totGap,S_core3.system.l3.ReadSharedReq.accesses::total,S_core3.system.l3.demandAccesses::total,S_core3.system.l3.prefetcher.prefetchersx.pfSpanPage,S_core3.system.l3.tags.totalRefs,S_core3.system.mem_ctrls.requestorReadAccesses::cpu0.dcache.prefetcher.prefetchers1,NS_core0.decode.blockedCycles,NS_core0.fetch.cycles,NS_core0.numCycles,NS_core0.numSimulatedInsts,NS_core0.rename.LQFullEvents,NS_core0.rename.unblockCycles,NS_core0.rob.reads,NS_core0.switch_cpus0.numRate,NS_core0.system.cpu0.dcache.ReadReq.mshrMissRate::total,NS_core0.system.cpu0.dcache.prefetcher.prefetchers1.pfIssued,NS_core0.system.switch_cpus0.issueRate,NS_core0.timesIdled,NS_core0.l2cache.ReadReq.hits::total,NS_core0.l2cache.demandAccesses::total,NS_core1.decode.blockedCycles,NS_core1.fetch.cycles,NS_core1.numCycles,NS_core1.numSimulatedInsts,NS_core1.rename.LQFullEvents,NS_core1.rename.unblockCycles,NS_core1.rob.reads,NS_core1.switch_cpus0.numRate,NS_core1.system.cpu0.dcache.ReadReq.mshrMissRate::total,NS_core1.system.cpu0.dcache.prefetcher.prefetchers1.pfIssued,NS_core1.system.switch_cpus0.issueRate,NS_core1.timesIdled,NS_core1.l2cache.ReadReq.hits::total,NS_core1.l2cache.demandAccesses::total,NS_core2.decode.blockedCycles,NS_core2.fetch.cycles,NS_core2.numCycles,NS_core2.numSimulatedInsts,NS_core2.rename.LQFullEvents,NS_core2.rename.unblockCycles,NS_core2.rob.reads,NS_core2.switch_cpus0.numRate,NS_core2.system.cpu0.dcache.ReadReq.mshrMissRate::total,NS_core2.system.cpu0.dcache.prefetcher.prefetchers1.pfIssued,NS_core2.system.switch_cpus0.issueRate,NS_core2.timesIdled,NS_core2.l2cache.ReadReq.hits::total,NS_core2.l2cache.demandAccesses::total,NS_core3.decode.blockedCycles,NS_core3.fetch.cycles,NS_core3.numCycles,NS_core3.numSimulatedInsts,NS_core3.rename.LQFullEvents,NS_core3.rename.unblockCycles,NS_core3.rob.reads,NS_core3.switch_cpus0.numRate,NS_core3.system.cpu0.dcache.ReadReq.mshrMissRate::total,NS_core3.system.cpu0.dcache.prefetcher.prefetchers1.pfIssued,NS_core3.system.switch_cpus0.issueRate,NS_core3.timesIdled,NS_core3.l2cache.ReadReq.hits::total,NS_core3.l2cache.demandAccesses::total,NS_core3.ReadSharedReq.mshrMisses::total,NS_core3.mem_ctrls.numStayReadState,NS_core3.mem_ctrls.rdQLenPdf::3,NS_core3.mem_ctrls.totGap,NS_core3.system.l3.ReadSharedReq.accesses::total,NS_core3.system.l3.demandAccesses::total,NS_core3.system.l3.prefetcher.prefetchersx.pfSpanPage,NS_core3.system.l3.tags.totalRefs,NS_core3.system.mem_ctrls.requestorReadAccesses::cpu0.dcache.prefetcher.prefetchers1,Core0.L1.P0.degree,Core0.L1.P1.degree,Core0.L2.P0.degree,Core0.L2.P1.degree,Core1.L1.P0.degree,Core1.L1.P1.degree,Core1.L2.P0.degree,Core1.L2.P1.degree,Core2.L1.P0.degree,Core2.L1.P1.degree,Core2.L2.P0.degree,Core2.L2.P1.degree,Core3.L1.P0.degree,Core3.L1.P1.degree,Core3.L2.P0.degree,Core3.L2.P1.degree,LLC.P0.degree,LLC.P1.degree,LLC.P2.degree
mix13.t23.0,9582136.0,11225320.0,19079335.0,81691949.0,3696599.0,4688132.0,31745086.0,0.7306693341251149,0.034378789459551445,732244.0,0.7431871708316878,22161.0,204859.0,888528.0,13230448.0,13992541.0,19079326.0,81691949.0,655972.0,2028127.0,36878059.0,1.022187209338527,0.017194011579375525,284969.0,1.0354217439337217,405.0,676143.0,1052248.0,1845102.0,6572336.0,19079326.0,81691949.0,3901.0,394229.0,42981707.0,1.2781710947231575,0.002194309209840064,39824.0,1.2968554025440941,586.0,11888.0,48352.0,4003668.0,9119127.0,19079331.0,81691949.0,189109.0,1556980.0,53483952.0,1.8964619356936572,0.0029248904315086624,235854.0,1.9034104497689148,8463.0,45131.0,317276.0,99904.0,370348.0,9839.0,5208586777.0,559172.0,576991.0,395903.0,101410.0,282448.0,5430129.0,7630524.0,15051246.0,64300868.0,2319680.0,2653658.0,29301477.0,0.9998810729689754,0.040423523273774846,0.0,1.0110905103803367,30540.0,99345.0,598131.0,10588655.0,11144438.0,15051244.0,64300868.0,434048.0,1536448.0,29050930.0,1.0144707640112671,0.02572772019514975,531290.0,1.0279806107721063,425.0,547153.0,1138244.0,954249.0,4892606.0,15051245.0,64300868.0,4730.0,283324.0,34850723.0,1.3407573924947738,0.0018941171647855115,45553.0,1.3597123028692975,750.0,9003.0,46751.0,3162713.0,6620006.0,15051244.0,64300868.0,702692.0,1297223.0,40957655.0,1.6714077587208074,0.004749981124247699,319412.0,1.6955164636225417,11978.0,152739.0,378564.0,30442.0,107085.0,4465.0,4107032354.0,377347.0,380064.0,89065.0,135796.0,62203.0,3,0,3,5,0,3,2,2,5,4,4,4,2,1,3,3,1,0,4
mix13.t23.1,5430129.0,7630524.0,15051246.0,64300868.0,2319680.0,2653658.0,29301477.0,0.9998810729689754,0.040423523273774846,0.0,1.0110905103803367,30540.0,99345.0,598131.0,10588655.0,11144438.0,15051244.0,64300868.0,434048.0,1536448.0,29050930.0,1.0144707640112671,0.02572772019514975,531290.0,1.0279806107721063,425.0,547153.0,1138244.0,954249.0,4892606.0,15051245.0,64300868.0,4730.0,283324.0,34850723.0,1.3407573924947738,0.0018941171647855115,45553.0,1.3597123028692975,750.0,9003.0,46751.0,3162713.0,6620006.0,15051244.0,64300868.0,702692.0,1297223.0,40957655.0,1.6714077587208074,0.004749981124247699,319412.0,1.6955164636225417,11978.0,152739.0,378564.0,30442.0,107085.0,4465.0,4107032354.0,377347.0,380064.0,89065.0,135796.0,62203.0,4332652.0,7359827.0,14451980.0,63632328.0,1321329.0,1586421.0,28800818.0,1.0332090827692815,0.018872727796429536,626346.0,1.0428121959759147,36020.0,58561.0,550185.0,9998406.0,10602509.0,14451977.0,63632328.0,467158.0,1497417.0,28251248.0,1.0419489319696538,0.015767801649115145,195183.0,1.055439197003981,441.0,523217.0,781741.0,967506.0,4713811.0,14451977.0,63632328.0,4392.0,327198.0,33444881.0,1.3388317044789098,0.0021122384930187484,36034.0,1.3574243164101354,838.0,9083.0,41030.0,2900719.0,6373021.0,14451978.0,63632328.0,563741.0,1146281.0,40070131.0,1.7413933234606362,0.00623808705474794,617778.0,1.765514450686266,16933.0,131686.0,523848.0,23362.0,98433.0,2442.0,3946857096.0,429088.0,430947.0,172468.0,241746.0,69967.0,1,2,3,3,4,1,0,4,4,2,2,1,2,3,2,0,1,2,3
mix13.t23.2,4332652.0,7359827.0,14451980.0,63632328.0,1321329.0,1586421.0,28800818.0,1.0332090827692815,0.018872727796429536,626346.0,1.0428121959759147,36020.0,58561.0,550185.0,9998406.0,10602509.0,14451977.0,63632328.0,467158.0,1497417.0,28251248.0,1.0419489319696538,0.015767801649115145,195183.0,1.055439197003981,441.0,523217.0,781741.0,967506.0,4713811.0,14451977.0,63632328.0,4392.0,327198.0,33444881.0,1.3388317044789098,0.0021122384930187484,36034.0,1.3574243164101354,838.0,9083.0,41030.0,2900719.0,6373021.0,14451978.0,63632328.0,563741.0,1146281.0,40070131.0,1.7413933234606362,0.00623808705474794,617778.0,1.765514450686266,16933.0,131686.0,523848.0,23362.0,98433.0,2442.0,3946857096.0,429088.0,430947.0,172468.0,241746.0,69967.0,5411543.0,7817712.0,15186985.0,68127264.0,2008327.0,2310705.0,29224774.0,0.9723324280625812,0.02273839981479006,1003128.0,0.9860580622157723,47139.0,110521.0,674724.0,10570588.0,11181926.0,15186979.0,68127264.0,498033.0,1613713.0,29549594.0,1.0315614448403465,0.021484044552915242,354927.0,1.0449695755818191,456.0,546456.0,986582.0,956858.0,4929658.0,15186979.0,68127264.0,4590.0,299287.0,35183495.0,1.341834146211699,0.002410511709672517,33441.0,1.3606098355703264,916.0,11689.0,42542.0,2364120.0,6468125.0,15186979.0,68127264.0,371271.0,858514.0,43420643.0,1.8522676563917024,0.00330146757742704,0.0,1.8760440111229495,23427.0,110202.0,259240.0,31802.0,113113.0,4423.0,4146520287.0,422466.0,425121.0,116272.0,282692.0,65462.0,0,3,5,4,3,2,2,1,1,1,1,0,2,0,2,0,1,0,5
mix13.t23.3,5411543.0,7817712.0,15186985.0,68127264.0,2008327.0,2310705.0,29224774.0,0.9723324280625812,0.02273839981479006,1003128.0,0.9860580622157723,47139.0,110521.0,674724.0,10570588.0,11181926.0,15186979.0,68127264.0,498033.0,1613713.0,29549594.0,1.0315614448403465,0.021484044552915242,354927.0,1.0449695755818191,456.0,546456.0,986582.0,956858.0,4929658.0,15186979.0,68127264.0,4590.0,299287.0,35183495.0,1.341834146211699,0.002410511709672517,33441.0,1.3606098355703264,916.0,11689.0,42542.0,2364120.0,6468125.0,15186979.0,68127264.0,371271.0,858514.0,43420643.0,1.8522676563917024,0.00330146757742704,0.0,1.8760440111229495,23427.0,110202.0,259240.0,31802.0,113113.0,4423.0,4146520287.0,422466.0,425121.0,116272.0,282692.0,65462.0,5095073.0,7324856.0,14997433.0,67228929.0,2031306.0,2326136.0,29091089.0,0.9925549258996523,0.02305960364250302,1133124.0,1.0070896799472282,61227.0,131560.0,771659.0,10440861.0,11045664.0,14997427.0,67228929.0,499959.0,1588775.0,29168203.0,1.030707667388546,0.02006775135486544,334941.0,1.0440877625208644,466.0,538558.0,948189.0,873841.0,4848022.0,14997427.0,67228929.0,2233.0,284845.0,34901656.0,1.3549596874183818,0.0021239395105083435,0.0,1.37335130886118,973.0,8803.0,22091.0,2557212.0,6464624.0,14997427.0,67228929.0,424990.0,955953.0,42762596.0,1.8327033030399147,0.00579583968823868,668383.0,1.8578544172943798,29560.0,118676.0,459220.0,25981.0,90652.0,2769.0,4093612614.0,495432.0,497712.0,74962.0,191123.0,58580.0,0,4,3,2,2,2,0,3,3,0,0,1,0,2,0,0,0,1,0
mix13.t23.4,5095073.0,7324856.0,14997433.0,67228929.0,2031306.0,2326136.0,29091089.0,0.9925549258996523,0.02305960364250302,1133124.0,1.0070896799472282,61227.0,131560.0,771659.0,10440861.0,11045664.0,14997427.0,67228929.0,499959.0,1588775.0,29168203.0,1.030707667388546,0.02006775135486544,334941.0,1.0440877625208644,466.0,538558.0,948189.0,873841.0,4848022.0,14997427.0,67228929.0,2233.0,284845.0,34901656.0,1.3549596874183818,0.0021239395105083435,0.0,1.37335130886118,973.0,8803.0,22091.0,2557212.0,6464624.0,14997427.0,67228929.0,424990.0,955953.0,42762596.0,1.8327033030399147,0.00579583968823868,668383.0,1.8578544172943798,29560.0,118676.0,459220.0,25981.0,90652.0,2769.0,4093612614.0,495432.0,497712.0,74962.0,191123.0,58580.0,5459380.0,7626757.0,14829197.0,65174648.0,2205325.0,2446256.0,27926068.0,0.93675692621792,0.03122185189605295,767230.0,0.9507995611630219,75393.0,152170.0,701061.0,10631943.0,11156401.0,14829195.0,65174648.0,432889.0,1468359.0,27996777.0,0.9687786154272029,0.0346683496979947,905779.0,0.9816325161278141,487.0,512713.0,1538692.0,742579.0,4740565.0,14829195.0,65174648.0,3827.0,251562.0,34781013.0,1.376991805691408,0.0010511407601586625,27844.0,1.3947465792984717,1040.0,4176.0,25815.0,2583059.0,6310513.0,14829195.0,65174648.0,482228.0,943240.0,41541993.0,1.7719262576289543,0.00509163099918934,390269.0,1.7965201078008617,35153.0,122594.0,411138.0,21661.0,79743.0,3114.0,4048827649.0,381236.0,383007.0,102475.0,158356.0,48482.0,0,1,0,3,3,5,0,3,1,4,1,3,3,1,3,0,4,0,5
mix13.t23.5,5459380.0,7626757.0,14829197.0,65174648.0,2205325.0,2446256.0,27926068.0,0.93675692621792,0.03122185189605295,767230.0,0.9507995611630219,75393.0,152170.0,701061.0,10631943.0,11156401.0,14829195.0,65174648.0,432889.0,1468359.0,27996777.0,0.9687786154272029,0.0346683496979947,905779.0,0.9816325161278141,487.0,512713.0,1538692.0,742579.0,4740565.0,14829195.0,65174648.0,3827.0,251562.0,34781013.0,1.376991805691408,0.0010511407601586625,27844.0,1.3947465792984717,1040.0,4176.0,25815.0,2583059.0,6310513.0,14829195.0,65174648.0,482228.0,943240.0,41541993.0,1.7719262576289543,0.00509163099918934,390269.0,1.7965201078008617,35153.0,122594.0,411138.0,21661.0,79743.0,3114.0,4048827649.0,381236.0,383007.0,102475.0,158356.0,48482.0,4412817.0,7082159.0,14657407.0,65489699.0,1525954.0,1838775.0,28849627.0,1.0227274851547754,0.018494930238936867,1001628.0,1.0331840413519253,87098.0,106490.0,692830.0,9729941.0,10070176.0,14657402.0,65489699.0,614701.0,1553162.0,28692078.0,1.036750510083574,0.023302251424903667,570455.0,1.0477377232336262,592.0,418688.0,1082674.0,1036544.0,4814439.0,14657402.0,65489699.0,4156.0,290595.0,33756858.0,1.3258755542080376,0.0024848959066182973,40247.0,1.3449320691347622,1098.0,11806.0,47858.0,2287598.0,6118301.0,14657402.0,65489699.0,387028.0,761739.0,41868383.0,1.8381884456740696,0.0054485075876702,430723.0,1.8632931675067654,41585.0,113269.0,446841.0,34349.0,129397.0,2933.0,4001656247.0,478291.0,480617.0,546471.0,273038.0,100273.0,0,5,3,3,5,4,4,3,4,2,4,3,5,1,0,4,0,4,5
mix13.t23.6,4412817.0,7082159.0,14657407.0,65489699.0,1525954.0,1838775.0,28849627.0,1.0227274851547754,0.018494930238936867,1001628.0,1.0331840413519253,87098.0,106490.0,692830.0,9729941.0,10070176.0,14657402.0,65489699.0,614701.0,1553162.0,28692078.0,1.036750510083574,0.023302251424903667,570455.0,1.0477377232336262,592.0,418688.0,1082674.0,1036544.0,4814439.0,14657402.0,65489699.0,4156.0,290595.0,33756858.0,1.3258755542080376,0.0024848959066182973,40247.0,1.3449320691347622,1098.0,11806.0,47858.0,2287598.0,6118301.0,14657402.0,65489699.0,387028.0,761739.0,41868383.0,1.8381884456740696,0.0054485075876702,430723.0,1.8632931675067654,41585.0,113269.0,446841.0,34349.0,129397.0,2933.0,4001656247.0,478291.0,480617.0,546471.0,273038.0,100273.0,6743598.0,8811229.0,16449516.0,69393325.0,2799742.0,3091276.0,29659958.0,0.8637130113737085,0.02688237077456171,704666.0,0.8757195044522891,104391.0,161593.0,836169.0,8697157.0,10454619.0,16449509.0,69393325.0,2552662.0,5792457.0,34008266.0,1.1361248533314885,0.008490659831329373,324447.0,1.1441039972682467,846.0,33735.0,409318.0,4569111.0,7749269.0,16449509.0,69393325.0,5924.0,322174.0,32841325.0,1.011715304085976,0.00532369881967515,89157.0,1.0261886236239635,1185.0,23416.0,100291.0,2933975.0,7115643.0,16449509.0,69393325.0,495820.0,941775.0,46023454.0,1.7769864133938587,0.005161963934142236,530739.0,1.8014228874551819,47774.0,128068.0,405194.0,171795.0,530790.0,10866.0,4490757180.0,744867.0,768332.0,1009388.0,3791747.0,436173.0,5,2,2,3,1,1,1,1,4,4,1,2,0,1,2,0,5,0,5
mix13.t23.7,6743598.0,8811229.0,16449516.0,69393325.0,2799742.0,3091276.0,29659958.0,0.8637130113737085,0.02688237077456171,704666.0,0.8757195044522891,104391.0,161593.0,836169.0,8697157.0,10454619.0,16449509.0,69393325.0,2552662.0,5792457.0,34008266.0,1.1361248533314885,0.008490659831329373,324447.0,1.1441039972682467,846.0,33735.0,409318.0,4569111.0,7749269.0,16449509.0,69393325.0,5924.0,322174.0,32841325.0,1.011715304085976,0.00532369881967515,89157.0,1.0261886236239635,1185.0,23416.0,100291.0,2933975.0,7115643.0,16449509.0,69393325.0,495820.0,941775.0,46023454.0,1.7769864133938587,0.005161963934142236,530739.0,1.8014228874551819,47774.0,128068.0,405194.0,171795.0,530790.0,10866.0,4490757180.0,744867.0,768332.0,1009388.0,3791747.0,436173.0,14354939.0,16514065.0,24548730.0,81719337.0,6825578.0,7123245.0,37563032.0,0.5904700569031474,0.0266919455142547,546143.0,0.5980832817013344,117828.0,124340.0,741521.0,18292603.0,18361436.0,24548726.0,81719337.0,7959553.0,9393366.0,39657122.0,0.6829310816373934,0.013276318983479182,530892.0,0.6867570235620374,1057.0,62314.0,586793.0,12004225.0,15111904.0,24548726.0,81719337.0,9139.0,445810.0,41258351.0,0.6932234691120019,0.011377445580290146,152082.0,0.7022992965093179,1565.0,53074.0,184181.0,4597314.0,10651150.0,24548726.0,81719337.0,721214.0,1529107.0,68321094.0,1.7726441689886474,0.006842334408580871,1370642.0,1.796391144697285,58881.0,185079.0,1066555.0,448847.0,1075941.0,4420.0,6701760975.0,1035446.0,1047979.0,6078582.0,3719201.0,979866.0,5,1,0,5,2,5,2,5,3,3,0,3,1,5,5,4,1,4,4
mix13.t23.8,14354939.0,16514065.0,24548730.0,81719337.0,6825578.0,7123245.0,37563032.0,0.5904700569031474,0.0266919455142547,546143.0,0.5980832817013344,117828.0,124340.0,741521.0,18292603.0,18361436.0,24548726.0,81719337.0,7959553.0,9393366.0,39657122.0,0.6829310816373934,0.013276318983479182,530892.0,0.6867570235620374,1057.0,62314.0,586793.0,12004225.0,15111904.0,24548726.0,81719337.0,9139.0,445810.0,41258351.0,0.6932234691120019,0.011377445580290146,152082.0,0.7022992965093179,1565.0,53074.0,184181.0,4597314.0,10651150.0,24548726.0,81719337.0,721214.0,1529107.0,68321094.0,1.7726441689886474,0.006842334408580871,1370642.0,1.796391144697285,58881.0,185079.0,1066555.0,448847.0,1075941.0,4420.0,6701760975.0,1035446.0,1047979.0,6078582.0,3719201.0,979866.0,12655860.0,14598467.0,22756911.0,77709114.0,4396991.0,5803405.0,35804766.0,0.6372450549198,0.027421997228484974,734501.0,0.6465695190353383,136483.0,165697.0,883935.0,14063931.0,16596679.0,22756908.0,77709114.0,2946113.0,5037355.0,41558034.0,0.9080873816425324,0.010560769091490336,426002.0,0.9174925697287171,1319.0,70198.0,863766.0,10085756.0,13263957.0,22756908.0,77709114.0,8697.0,417182.0,39487861.0,0.746787085486306,0.01079776454648636,174229.0,0.7568783509605084,1775.0,51509.0,200552.0,6503767.0,11252187.0,22676960.0,77709114.0,329624.0,2693968.0,57823264.0,1.6039892031383396,0.004873589018817518,565500.0,1.6180066022958985,70564.0,97964.0,549339.0,436153.0,1033320.0,4586.0,6212690757.0,1109941.0,1131607.0,6497019.0,3264547.0,942215.0,5,2,2,5,5,1,1,5,4,4,2,4,3,2,2,4,2,4,5
mix13.t23.9,12655860.0,14598467.0,22756911.0,77709114.0,4396991.0,5803405.0,35804766.0,0.6372450549198,0.027421997228484974,734501.0,0.6465695190353383,136483.0,165697.0,883935.0,14063931.0,16596679.0,22756908.0,77709114.0,2946113.0,5037355.0,41558034.0,0.9080873816425324,0.010560769091490336,426002.0,0.9174925697287171,1319.0,70198.0,863766.0,10085756.0,13263957.0,22756908.0,77709114.0,8697.0,417182.0,39487861.0,0.746787085486306,0.01079776454648636,174229.0,0.7568783509605084,1775.0,51509.0,200552.0,6503767.0,11252187.0,22676960.0,77709114.0,329624.0,2693968.0,57823264.0,1.6039892031383396,0.004873589018817518,565500.0,1.6180066022958985,70564.0,97964.0,549339.0,436153.0,1033320.0,4586.0,6212690757.0,1109941.0,1131607.0,6497019.0,3264547.0,942215.0,18006205.0,19947247.0,28539291.0,102191015.0,8726102.0,9074265.0,41952130.0,0.5250500091260151,0.043748804614439925,0.0,0.5317908563320651,149889.0,124692.0,608536.0,18569275.0,21668321.0,28539283.0,102191015.0,3536193.0,4837270.0,56485723.0,1.081357509927632,0.013166327406600101,955111.0,1.0861135509255786,1623.0,81884.0,1184569.0,9547085.0,14316110.0,28539283.0,102191015.0,15745.0,716727.0,53574555.0,0.8862547808226297,0.007599485266876096,157045.0,0.899715840793898,2134.0,54366.0,193938.0,6998795.0,13682551.0,28539285.0,102191015.0,1358430.0,2770440.0,77407410.0,1.6858453531684483,0.005880952391370402,1100032.0,1.7121527396359089,76633.0,295682.0,1035968.0,428068.0,1255702.0,10306.0,7791226841.0,1044303.0,1063929.0,3708219.0,3105882.0,1096118.0,2,0,2,3,1,3,5,5,5,2,2,5,3,3,5,0,2,2,4
