,S_core0.decode.blockedCycles,S_core0.fetch.cycles,S_core0.numCycles,S_core0.numSimulatedInsts,S_core0.rename.LQFullEvents,S_core0.rename.unblockCycles,S_core0.rob.reads,S_core0.switch_cpus0.numRate,S_core0.system.cpu0.dcache.ReadReq.mshrMissRate::total,S_core0.system.cpu0.dcache.prefetcher.prefetchers1.pfIssued,S_core0.system.switch_cpus0.issueRate,S_core0.timesIdled,S_core0.l2cache.ReadReq.hits::total,S_core0.l2cache.demandAccesses::total,S_core1.decode.blockedCycles,S_core1.fetch.cycles,S_core1.numCycles,S_core1.numSimulatedInsts,S_core1.rename.LQFullEvents,S_core1.rename.unblockCycles,S_core1.rob.reads,S_core1.switch_cpus0.numRate,S_core1.system.cpu0.dcache.ReadReq.mshrMissRate::total,S_core1.system.cpu0.dcache.prefetcher.prefetchers1.pfIssued,S_core1.system.switch_cpus0.issueRate,S_core1.timesIdled,S_core1.l2cache.ReadReq.hits::total,S_core1.l2cache.demandAccesses::total,S_core2.decode.blockedCycles,S_core2.fetch.cycles,S_core2.numCycles,S_core2.numSimulatedInsts,S_core2.rename.LQFullEvents,S_core2.rename.unblockCycles,S_core2.rob.reads,S_core2.switch_cpus0.numRate,S_core2.system.cpu0.dcache.ReadReq.mshrMissRate::total,S_core2.system.cpu0.dcache.prefetcher.prefetchers1.pfIssued,S_core2.system.switch_cpus0.issueRate,S_core2.timesIdled,S_core2.l2cache.ReadReq.hits::total,S_core2.l2cache.demandAccesses::total,S_core3.decode.blockedCycles,S_core3.fetch.cycles,S_core3.numCycles,S_core3.numSimulatedInsts,S_core3.rename.LQFullEvents,S_core3.rename.unblockCycles,S_core3.rob.reads,S_core3.switch_cpus0.numRate,S_core3.system.cpu0.dcache.ReadReq.mshrMissRate::total,S_core3.system.cpu0.dcache.prefetcher.prefetchers1.pfIssued,S_core3.system.switch_cpus0.issueRate,S_core3.timesIdled,S_core3.l2cache.ReadReq.hits::total,S_core3.l2cache.demandAccesses::total,S_core3.ReadSharedReq.mshrMisses::total,S_core3.mem_ctrls.numStayReadState,S_core3.mem_ctrls.rdQLenPdf::3,S_core3.mem_ctrls.totGap,S_core3.system.l3.ReadSharedReq.accesses::total,S_core3.system.l3.demandAccesses::total,S_core3.system.l3.prefetcher.prefetchersx.pfSpanPage,S_core3.system.l3.tags.totalRefs,S_core3.system.mem_ctrls.requestorReadAccesses::cpu0.dcache.prefetcher.prefetchers1,NS_core0.decode.blockedCycles,NS_core0.fetch.cycles,NS_core0.numCycles,NS_core0.numSimulatedInsts,NS_core0.rename.LQFullEvents,NS_core0.rename.unblockCycles,NS_core0.rob.reads,NS_core0.switch_cpus0.numRate,NS_core0.system.cpu0.dcache.ReadReq.mshrMissRate::total,NS_core0.system.cpu0.dcache.prefetcher.prefetchers1.pfIssued,NS_core0.system.switch_cpus0.issueRate,NS_core0.timesIdled,NS_core0.l2cache.ReadReq.hits::total,NS_core0.l2cache.demandAccesses::total,NS_core1.decode.blockedCycles,NS_core1.fetch.cycles,NS_core1.numCycles,NS_core1.numSimulatedInsts,NS_core1.rename.LQFullEvents,NS_core1.rename.unblockCycles,NS_core1.rob.reads,NS_core1.switch_cpus0.numRate,NS_core1.system.cpu0.dcache.ReadReq.mshrMissRate::total,NS_core1.system.cpu0.dcache.prefetcher.prefetchers1.pfIssued,NS_core1.system.switch_cpus0.issueRate,NS_core1.timesIdled,NS_core1.l2cache.ReadReq.hits::total,NS_core1.l2cache.demandAccesses::total,NS_core2.decode.blockedCycles,NS_core2.fetch.cycles,NS_core2.numCycles,NS_core2.numSimulatedInsts,NS_core2.rename.LQFullEvents,NS_core2.rename.unblockCycles,NS_core2.rob.reads,NS_core2.switch_cpus0.numRate,NS_core2.system.cpu0.dcache.ReadReq.mshrMissRate::total,NS_core2.system.cpu0.dcache.prefetcher.prefetchers1.pfIssued,NS_core2.system.switch_cpus0.issueRate,NS_core2.timesIdled,NS_core2.l2cache.ReadReq.hits::total,NS_core2.l2cache.demandAccesses::total,NS_core3.decode.blockedCycles,NS_core3.fetch.cycles,NS_core3.numCycles,NS_core3.numSimulatedInsts,NS_core3.rename.LQFullEvents,NS_core3.rename.unblockCycles,NS_core3.rob.reads,NS_core3.switch_cpus0.numRate,NS_core3.system.cpu0.dcache.ReadReq.mshrMissRate::total,NS_core3.system.cpu0.dcache.prefetcher.prefetchers1.pfIssued,NS_core3.system.switch_cpus0.issueRate,NS_core3.timesIdled,NS_core3.l2cache.ReadReq.hits::total,NS_core3.l2cache.demandAccesses::total,NS_core3.ReadSharedReq.mshrMisses::total,NS_core3.mem_ctrls.numStayReadState,NS_core3.mem_ctrls.rdQLenPdf::3,NS_core3.mem_ctrls.totGap,NS_core3.system.l3.ReadSharedReq.accesses::total,NS_core3.system.l3.demandAccesses::total,NS_core3.system.l3.prefetcher.prefetchersx.pfSpanPage,NS_core3.system.l3.tags.totalRefs,NS_core3.system.mem_ctrls.requestorReadAccesses::cpu0.dcache.prefetcher.prefetchers1,Core0.L1.P0.degree,Core0.L1.P1.degree,Core0.L2.P0.degree,Core0.L2.P1.degree,Core1.L1.P0.degree,Core1.L1.P1.degree,Core1.L2.P0.degree,Core1.L2.P1.degree,Core2.L1.P0.degree,Core2.L1.P1.degree,Core2.L2.P0.degree,Core2.L2.P1.degree,Core3.L1.P0.degree,Core3.L1.P1.degree,Core3.L2.P0.degree,Core3.L2.P1.degree,LLC.P0.degree,LLC.P1.degree,LLC.P2.degree
mix4.t14.0,1639585.0,3858398.0,9882765.0,60812069.0,3561.0,229305.0,21239921.0,1.1838236566386027,0.0022748901492702796,17670.0,1.2000914723764047,619.0,5118.0,23519.0,308441.0,3983675.0,9882766.0,60812069.0,68133.0,137593.0,34996465.0,2.6456510252291716,0.0002805187836694787,8733.0,2.6458808191957597,612.0,715.0,7709.0,921761.0,3399392.0,9882765.0,60812069.0,17194.0,129240.0,24274105.0,1.5449743062796697,9.017151417010825e-05,2502.0,1.5486352250610027,948.0,1098.0,5757.0,6617307.0,7176702.0,9882765.0,60812069.0,26200.0,3673988.0,22474583.0,1.4562577375865964,0.007859608109495566,469900.0,1.4581783539323256,311.0,17288.0,910057.0,71382.0,335816.0,7937.0,2697898476.0,355695.0,401463.0,373278.0,64090.0,261332.0,1492745.0,3716436.0,9616983.0,60070249.0,2691.0,226964.0,21040586.0,1.2138133133852893,0.002278545572567371,28457.0,1.2303516601828244,731.0,5646.0,30109.0,287181.0,4054715.0,9616983.0,60070249.0,52116.0,83315.0,33967993.0,2.6394502309092154,0.0006943085930270216,59532.0,2.640024111511895,709.0,1156.0,22842.0,906870.0,3393812.0,9616983.0,60070249.0,14838.0,141078.0,24191695.0,1.5856499902308239,5.541893683893312e-05,4834.0,1.5892377058376832,1130.0,724.0,4753.0,6308742.0,6964771.0,9616983.0,60070249.0,33825.0,2992920.0,22279809.0,1.4562232251008451,0.006558361809092639,957116.0,1.4581926577181221,325.0,17125.0,952720.0,64598.0,303788.0,8880.0,2625463661.0,378430.0,403755.0,340718.0,814266.0,232950.0,3,4,4,3,0,4,1,2,0,4,4,1,0,2,4,2,5,2,0
mix4.t14.1,1492745.0,3716436.0,9616983.0,60070249.0,2691.0,226964.0,21040586.0,1.2138133133852893,0.002278545572567371,28457.0,1.2303516601828244,731.0,5646.0,30109.0,287181.0,4054715.0,9616983.0,60070249.0,52116.0,83315.0,33967993.0,2.6394502309092154,0.0006943085930270216,59532.0,2.640024111511895,709.0,1156.0,22842.0,906870.0,3393812.0,9616983.0,60070249.0,14838.0,141078.0,24191695.0,1.5856499902308239,5.541893683893312e-05,4834.0,1.5892377058376832,1130.0,724.0,4753.0,6308742.0,6964771.0,9616983.0,60070249.0,33825.0,2992920.0,22279809.0,1.4562232251008451,0.006558361809092639,957116.0,1.4581926577181221,325.0,17125.0,952720.0,64598.0,303788.0,8880.0,2625463661.0,378430.0,403755.0,340718.0,814266.0,232950.0,1545990.0,3771262.0,9654495.0,60457239.0,3247.0,319636.0,21083472.0,1.2104071730318364,0.002281306331570723,47964.0,1.2268558842280202,903.0,5448.0,30742.0,344746.0,4295899.0,9654495.0,60457239.0,77867.0,95540.0,33065092.0,2.543760497053445,0.001142233013423646,0.0,2.5456826069100456,710.0,874.0,21167.0,958898.0,3316282.0,9654496.0,60457239.0,18475.0,135581.0,23391753.0,1.5206444748643533,0.00012604311543810848,4836.0,1.524147298833621,2535.0,1192.0,8285.0,6214433.0,6844596.0,9654495.0,60457239.0,33652.0,3263053.0,23185413.0,1.5948505851419468,0.0073483157819781006,669061.0,1.5969189481169135,325.0,18115.0,986642.0,62502.0,281571.0,6060.0,2635620108.0,382244.0,428385.0,725434.0,966124.0,233837.0,0,3,2,3,2,0,0,1,1,3,3,4,2,4,2,4,0,2,4
mix4.t14.2,1545990.0,3771262.0,9654495.0,60457239.0,3247.0,319636.0,21083472.0,1.2104071730318364,0.002281306331570723,47964.0,1.2268558842280202,903.0,5448.0,30742.0,344746.0,4295899.0,9654495.0,60457239.0,77867.0,95540.0,33065092.0,2.543760497053445,0.001142233013423646,0.0,2.5456826069100456,710.0,874.0,21167.0,958898.0,3316282.0,9654496.0,60457239.0,18475.0,135581.0,23391753.0,1.5206444748643533,0.00012604311543810848,4836.0,1.524147298833621,2535.0,1192.0,8285.0,6214433.0,6844596.0,9654495.0,60457239.0,33652.0,3263053.0,23185413.0,1.5948505851419468,0.0073483157819781006,669061.0,1.5969189481169135,325.0,18115.0,986642.0,62502.0,281571.0,6060.0,2635620108.0,382244.0,428385.0,725434.0,966124.0,233837.0,1427756.0,3648786.0,9527556.0,59055927.0,3940.0,231292.0,20932999.0,1.2234998146429157,0.0020576226920343155,27013.0,1.2400988249242513,1034.0,5228.0,28066.0,387377.0,4267922.0,9527556.0,59055927.0,82206.0,122802.0,32510830.0,2.531630042373931,0.001424314273645488,89942.0,2.5333893602934476,720.0,771.0,20623.0,890188.0,3355742.0,9527556.0,59055927.0,17329.0,135931.0,23971196.0,1.5863676896782344,5.82687468609296e-05,2298.0,1.5900002057190743,2738.0,725.0,4166.0,6166558.0,6937097.0,9527556.0,59055927.0,437923.0,3236682.0,21774406.0,1.4293813649586526,0.008194547338850045,1177158.0,1.431790902094934,343.0,19785.0,1041943.0,71539.0,295379.0,5983.0,2601077892.0,422279.0,458693.0,846517.0,1059312.0,253502.0,3,4,4,2,0,1,1,3,2,3,4,3,0,4,2,4,4,4,0
mix4.t14.3,1427756.0,3648786.0,9527556.0,59055927.0,3940.0,231292.0,20932999.0,1.2234998146429157,0.0020576226920343155,27013.0,1.2400988249242513,1034.0,5228.0,28066.0,387377.0,4267922.0,9527556.0,59055927.0,82206.0,122802.0,32510830.0,2.531630042373931,0.001424314273645488,89942.0,2.5333893602934476,720.0,771.0,20623.0,890188.0,3355742.0,9527556.0,59055927.0,17329.0,135931.0,23971196.0,1.5863676896782344,5.82687468609296e-05,2298.0,1.5900002057190743,2738.0,725.0,4166.0,6166558.0,6937097.0,9527556.0,59055927.0,437923.0,3236682.0,21774406.0,1.4293813649586526,0.008194547338850045,1177158.0,1.431790902094934,343.0,19785.0,1041943.0,71539.0,295379.0,5983.0,2601077892.0,422279.0,458693.0,846517.0,1059312.0,253502.0,1237586.0,3468253.0,9329728.0,55634341.0,2469.0,254793.0,20767500.0,1.2506931606151863,0.002224101144748228,0.0,1.2676871179952942,1035.0,4999.0,13188.0,267331.0,3843754.0,9329728.0,55634341.0,49762.0,124250.0,33339049.0,2.66856075546897,0.0004692104100721392,15690.0,2.6687663348813597,754.0,237.0,5222.0,873022.0,3289559.0,9329728.0,55634341.0,16588.0,136488.0,23459450.0,1.5843476894503248,5.078260313352432e-05,1736.0,1.588081453178485,2817.0,460.0,2999.0,6820563.0,7400171.0,9329728.0,55634341.0,508983.0,3735872.0,18426553.0,1.1009034775719078,0.010738018778140774,988815.0,1.103231734086996,344.0,18315.0,947356.0,64761.0,282152.0,4460.0,2546970436.0,374736.0,418020.0,1275302.0,1021474.0,250673.0,1,0,4,1,0,1,2,4,3,2,0,1,0,4,2,2,2,5,3
mix4.t14.4,1237586.0,3468253.0,9329728.0,55634341.0,2469.0,254793.0,20767500.0,1.2506931606151863,0.002224101144748228,0.0,1.2676871179952942,1035.0,4999.0,13188.0,267331.0,3843754.0,9329728.0,55634341.0,49762.0,124250.0,33339049.0,2.66856075546897,0.0004692104100721392,15690.0,2.6687663348813597,754.0,237.0,5222.0,873022.0,3289559.0,9329728.0,55634341.0,16588.0,136488.0,23459450.0,1.5843476894503248,5.078260313352432e-05,1736.0,1.588081453178485,2817.0,460.0,2999.0,6820563.0,7400171.0,9329728.0,55634341.0,508983.0,3735872.0,18426553.0,1.1009034775719078,0.010738018778140774,988815.0,1.103231734086996,344.0,18315.0,947356.0,64761.0,282152.0,4460.0,2546970436.0,374736.0,418020.0,1275302.0,1021474.0,250673.0,1231736.0,3456897.0,9319813.0,58285965.0,3723.0,225523.0,20744873.0,1.25111222725177,0.002156380502781308,16437.0,1.2681143924239682,1113.0,5255.0,21932.0,119122.0,3809510.0,9319813.0,58285965.0,20106.0,63823.0,33514542.0,2.6994876399344063,0.0008243162961517675,39702.0,2.6999103951978434,795.0,931.0,18671.0,836496.0,3254361.0,9319813.0,58285965.0,3848.0,108874.0,23481349.0,1.5897083986556382,7.09404132872041e-05,2227.0,1.5934521432994417,2997.0,811.0,4251.0,6402056.0,6899169.0,9319813.0,58285965.0,29019.0,3698798.0,20951263.0,1.4277535396901204,0.008779443622688704,3.0,1.4296042205997053,363.0,15704.0,790608.0,44154.0,259244.0,8838.0,2544354813.0,281172.0,359067.0,491237.0,733122.0,183519.0,3,1,0,4,0,1,2,4,2,2,0,0,4,0,3,4,2,1,5
mix4.t14.5,1231736.0,3456897.0,9319813.0,58285965.0,3723.0,225523.0,20744873.0,1.25111222725177,0.002156380502781308,16437.0,1.2681143924239682,1113.0,5255.0,21932.0,119122.0,3809510.0,9319813.0,58285965.0,20106.0,63823.0,33514542.0,2.6994876399344063,0.0008243162961517675,39702.0,2.6999103951978434,795.0,931.0,18671.0,836496.0,3254361.0,9319813.0,58285965.0,3848.0,108874.0,23481349.0,1.5897083986556382,7.09404132872041e-05,2227.0,1.5934521432994417,2997.0,811.0,4251.0,6402056.0,6899169.0,9319813.0,58285965.0,29019.0,3698798.0,20951263.0,1.4277535396901204,0.008779443622688704,3.0,1.4296042205997053,363.0,15704.0,790608.0,44154.0,259244.0,8838.0,2544354813.0,281172.0,359067.0,491237.0,733122.0,183519.0,1018392.0,3247115.0,9086873.0,58499793.0,2692.0,225609.0,20493178.0,1.282033324335005,0.001553473945490514,22188.0,1.2991819077916023,1206.0,3697.0,21662.0,89510.0,3854164.0,9086873.0,58499793.0,12786.0,25174.0,31401013.0,2.577856981163927,0.001153017947853461,70397.0,2.58047262243018,999.0,1776.0,27321.0,808962.0,3176563.0,9086873.0,58499793.0,491.0,105488.0,22932910.0,1.5945137562723724,5.481059856475476e-05,2710.0,1.59811642574954,3157.0,717.0,3977.0,5789829.0,6412504.0,9086873.0,58499793.0,29530.0,2823835.0,21941703.0,1.554606298558371,0.00905324445220723,1109983.0,1.5567010785778561,379.0,17320.0,884495.0,55927.0,265074.0,7041.0,2480567544.0,365693.0,395664.0,696382.0,933148.0,212714.0,2,4,2,1,1,1,2,0,1,4,3,2,0,3,2,4,5,2,5
mix4.t14.6,1018392.0,3247115.0,9086873.0,58499793.0,2692.0,225609.0,20493178.0,1.282033324335005,0.001553473945490514,22188.0,1.2991819077916023,1206.0,3697.0,21662.0,89510.0,3854164.0,9086873.0,58499793.0,12786.0,25174.0,31401013.0,2.577856981163927,0.001153017947853461,70397.0,2.58047262243018,999.0,1776.0,27321.0,808962.0,3176563.0,9086873.0,58499793.0,491.0,105488.0,22932910.0,1.5945137562723724,5.481059856475476e-05,2710.0,1.59811642574954,3157.0,717.0,3977.0,5789829.0,6412504.0,9086873.0,58499793.0,29530.0,2823835.0,21941703.0,1.554606298558371,0.00905324445220723,1109983.0,1.5567010785778561,379.0,17320.0,884495.0,55927.0,265074.0,7041.0,2480567544.0,365693.0,395664.0,696382.0,933148.0,212714.0,1508177.0,3736748.0,9634075.0,60813135.0,3446.0,342897.0,21070496.0,1.214072861172453,0.002415160336196565,29592.0,1.2305970215095896,1323.0,5092.0,31759.0,94384.0,4121304.0,9634075.0,60813135.0,16218.0,26457.0,33517850.0,2.598172009248423,0.0014320689487866884,106577.0,2.600954736183806,1017.0,2107.0,49278.0,924633.0,3376699.0,9634076.0,60813135.0,132.0,114830.0,24154196.0,1.5782969741986672,0.00012671598939697666,6115.0,1.5819281475462723,3884.0,1364.0,9338.0,6356641.0,6939833.0,9634075.0,60813135.0,56913.0,3248596.0,22586238.0,1.5390553841443002,0.007901353646773916,569719.0,1.5411512781455408,379.0,17870.0,979698.0,56270.0,273956.0,5380.0,2630250207.0,371189.0,417106.0,877164.0,1016435.0,232383.0,4,4,3,1,4,2,4,4,2,4,2,2,1,2,1,0,0,3,4
mix4.t14.7,1508177.0,3736748.0,9634075.0,60813135.0,3446.0,342897.0,21070496.0,1.214072861172453,0.002415160336196565,29592.0,1.2305970215095896,1323.0,5092.0,31759.0,94384.0,4121304.0,9634075.0,60813135.0,16218.0,26457.0,33517850.0,2.598172009248423,0.0014320689487866884,106577.0,2.600954736183806,1017.0,2107.0,49278.0,924633.0,3376699.0,9634076.0,60813135.0,132.0,114830.0,24154196.0,1.5782969741986672,0.00012671598939697666,6115.0,1.5819281475462723,3884.0,1364.0,9338.0,6356641.0,6939833.0,9634075.0,60813135.0,56913.0,3248596.0,22586238.0,1.5390553841443002,0.007901353646773916,569719.0,1.5411512781455408,379.0,17870.0,979698.0,56270.0,273956.0,5380.0,2630250207.0,371189.0,417106.0,877164.0,1016435.0,232383.0,1438640.0,3664266.0,9572755.0,59918300.0,4722.0,227732.0,20992153.0,1.219340095928497,0.00230492012305278,21735.0,1.235926334686305,1482.0,5810.0,26127.0,452469.0,4223851.0,9572755.0,59918300.0,161544.0,266745.0,32741756.0,2.543012434769301,0.0022533704161768276,212982.0,2.5455330257590423,1081.0,3007.0,72215.0,844090.0,3339240.0,9572754.0,59918300.0,0.0,101946.0,24170987.0,1.5958073298446822,6.575784454553293e-05,2621.0,1.5994291715842692,4091.0,835.0,4408.0,6358247.0,6912771.0,9572754.0,59918300.0,79788.0,3516385.0,22325939.0,1.5432338489007447,0.008905389470573913,564551.0,1.5454768815745188,394.0,18518.0,1011155.0,65515.0,285952.0,8888.0,2613319000.0,372276.0,427102.0,363563.0,915562.0,214369.0,2,2,1,3,0,4,0,1,3,3,1,2,4,4,3,1,3,0,4
mix4.t14.8,1438640.0,3664266.0,9572755.0,59918300.0,4722.0,227732.0,20992153.0,1.219340095928497,0.00230492012305278,21735.0,1.235926334686305,1482.0,5810.0,26127.0,452469.0,4223851.0,9572755.0,59918300.0,161544.0,266745.0,32741756.0,2.543012434769301,0.0022533704161768276,212982.0,2.5455330257590423,1081.0,3007.0,72215.0,844090.0,3339240.0,9572754.0,59918300.0,0.0,101946.0,24170987.0,1.5958073298446822,6.575784454553293e-05,2621.0,1.5994291715842692,4091.0,835.0,4408.0,6358247.0,6912771.0,9572754.0,59918300.0,79788.0,3516385.0,22325939.0,1.5432338489007447,0.008905389470573913,564551.0,1.5454768815745188,394.0,18518.0,1011155.0,65515.0,285952.0,8888.0,2613319000.0,372276.0,427102.0,363563.0,915562.0,214369.0,1143581.0,3370143.0,9240766.0,56323468.0,3554.0,222732.0,20668892.0,1.2618035128256684,0.0023865969771534575,0.0,1.2789632374632147,1558.0,5191.0,14144.0,698984.0,4209758.0,9240766.0,56323468.0,305603.0,423152.0,31314700.0,2.5193605162169455,0.0019234547584369177,153633.0,2.5227333967768475,1172.0,3965.0,85563.0,811505.0,3214664.0,9240766.0,56323468.0,700.0,100697.0,23275927.0,1.5889028030793118,5.4050449120002025e-05,2736.0,1.5927690410080724,4272.0,787.0,4291.0,6514515.0,6961955.0,9240767.0,56323468.0,112467.0,3510957.0,20069108.0,1.3596547775741992,0.009996671533155229,24.0,1.3617510321383495,492.0,16349.0,816650.0,41506.0,243503.0,6690.0,2522724000.0,289060.0,374573.0,814206.0,829853.0,180002.0,3,0,4,0,4,4,0,0,4,4,2,4,2,0,1,1,0,5,2
mix4.t14.9,1143581.0,3370143.0,9240766.0,56323468.0,3554.0,222732.0,20668892.0,1.2618035128256684,0.0023865969771534575,0.0,1.2789632374632147,1558.0,5191.0,14144.0,698984.0,4209758.0,9240766.0,56323468.0,305603.0,423152.0,31314700.0,2.5193605162169455,0.0019234547584369177,153633.0,2.5227333967768475,1172.0,3965.0,85563.0,811505.0,3214664.0,9240766.0,56323468.0,700.0,100697.0,23275927.0,1.5889028030793118,5.4050449120002025e-05,2736.0,1.5927690410080724,4272.0,787.0,4291.0,6514515.0,6961955.0,9240767.0,56323468.0,112467.0,3510957.0,20069108.0,1.3596547775741992,0.009996671533155229,24.0,1.3617510321383495,492.0,16349.0,816650.0,41506.0,243503.0,6690.0,2522724000.0,289060.0,374573.0,814206.0,829853.0,180002.0,1271211.0,3498466.0,9346738.0,56640686.0,3767.0,224653.0,20760788.0,1.246462669650096,0.0019046611640183657,21541.0,1.2632591177799142,1559.0,4785.0,23382.0,775560.0,4259947.0,9346738.0,56640686.0,302810.0,423417.0,31484633.0,2.4936222669341968,0.0021564336353181515,189621.0,2.4976559736669626,1194.0,5975.0,99910.0,818838.0,3254934.0,9346738.0,56640686.0,9.0,105714.0,23546678.0,1.588753209943405,4.722946359406298e-05,1571.0,1.5926730801697875,4328.0,475.0,2744.0,6618587.0,7070160.0,9346738.0,56640686.0,99905.0,3619561.0,20286508.0,1.3607873677426285,0.009365900020985777,428735.0,1.362879006558224,492.0,16658.0,906749.0,68698.0,287326.0,11142.0,2551652000.0,333340.0,390526.0,73507.0,912155.0,194452.0,3,3,0,2,2,4,0,3,3,2,4,2,3,1,0,3,2,0,1
