,S_core0.decode.blockedCycles,S_core0.fetch.cycles,S_core0.numCycles,S_core0.numSimulatedInsts,S_core0.rename.LQFullEvents,S_core0.rename.unblockCycles,S_core0.rob.reads,S_core0.switch_cpus0.numRate,S_core0.system.cpu0.dcache.ReadReq.mshrMissRate::total,S_core0.system.cpu0.dcache.prefetcher.prefetchers1.pfIssued,S_core0.system.switch_cpus0.issueRate,S_core0.timesIdled,S_core0.l2cache.ReadReq.hits::total,S_core0.l2cache.demandAccesses::total,S_core1.decode.blockedCycles,S_core1.fetch.cycles,S_core1.numCycles,S_core1.numSimulatedInsts,S_core1.rename.LQFullEvents,S_core1.rename.unblockCycles,S_core1.rob.reads,S_core1.switch_cpus0.numRate,S_core1.system.cpu0.dcache.ReadReq.mshrMissRate::total,S_core1.system.cpu0.dcache.prefetcher.prefetchers1.pfIssued,S_core1.system.switch_cpus0.issueRate,S_core1.timesIdled,S_core1.l2cache.ReadReq.hits::total,S_core1.l2cache.demandAccesses::total,S_core2.decode.blockedCycles,S_core2.fetch.cycles,S_core2.numCycles,S_core2.numSimulatedInsts,S_core2.rename.LQFullEvents,S_core2.rename.unblockCycles,S_core2.rob.reads,S_core2.switch_cpus0.numRate,S_core2.system.cpu0.dcache.ReadReq.mshrMissRate::total,S_core2.system.cpu0.dcache.prefetcher.prefetchers1.pfIssued,S_core2.system.switch_cpus0.issueRate,S_core2.timesIdled,S_core2.l2cache.ReadReq.hits::total,S_core2.l2cache.demandAccesses::total,S_core3.decode.blockedCycles,S_core3.fetch.cycles,S_core3.numCycles,S_core3.numSimulatedInsts,S_core3.rename.LQFullEvents,S_core3.rename.unblockCycles,S_core3.rob.reads,S_core3.switch_cpus0.numRate,S_core3.system.cpu0.dcache.ReadReq.mshrMissRate::total,S_core3.system.cpu0.dcache.prefetcher.prefetchers1.pfIssued,S_core3.system.switch_cpus0.issueRate,S_core3.timesIdled,S_core3.l2cache.ReadReq.hits::total,S_core3.l2cache.demandAccesses::total,S_core3.ReadSharedReq.mshrMisses::total,S_core3.mem_ctrls.numStayReadState,S_core3.mem_ctrls.rdQLenPdf::3,S_core3.mem_ctrls.totGap,S_core3.system.l3.ReadSharedReq.accesses::total,S_core3.system.l3.demandAccesses::total,S_core3.system.l3.prefetcher.prefetchersx.pfSpanPage,S_core3.system.l3.tags.totalRefs,S_core3.system.mem_ctrls.requestorReadAccesses::cpu0.dcache.prefetcher.prefetchers1,NS_core0.decode.blockedCycles,NS_core0.fetch.cycles,NS_core0.numCycles,NS_core0.numSimulatedInsts,NS_core0.rename.LQFullEvents,NS_core0.rename.unblockCycles,NS_core0.rob.reads,NS_core0.switch_cpus0.numRate,NS_core0.system.cpu0.dcache.ReadReq.mshrMissRate::total,NS_core0.system.cpu0.dcache.prefetcher.prefetchers1.pfIssued,NS_core0.system.switch_cpus0.issueRate,NS_core0.timesIdled,NS_core0.l2cache.ReadReq.hits::total,NS_core0.l2cache.demandAccesses::total,NS_core1.decode.blockedCycles,NS_core1.fetch.cycles,NS_core1.numCycles,NS_core1.numSimulatedInsts,NS_core1.rename.LQFullEvents,NS_core1.rename.unblockCycles,NS_core1.rob.reads,NS_core1.switch_cpus0.numRate,NS_core1.system.cpu0.dcache.ReadReq.mshrMissRate::total,NS_core1.system.cpu0.dcache.prefetcher.prefetchers1.pfIssued,NS_core1.system.switch_cpus0.issueRate,NS_core1.timesIdled,NS_core1.l2cache.ReadReq.hits::total,NS_core1.l2cache.demandAccesses::total,NS_core2.decode.blockedCycles,NS_core2.fetch.cycles,NS_core2.numCycles,NS_core2.numSimulatedInsts,NS_core2.rename.LQFullEvents,NS_core2.rename.unblockCycles,NS_core2.rob.reads,NS_core2.switch_cpus0.numRate,NS_core2.system.cpu0.dcache.ReadReq.mshrMissRate::total,NS_core2.system.cpu0.dcache.prefetcher.prefetchers1.pfIssued,NS_core2.system.switch_cpus0.issueRate,NS_core2.timesIdled,NS_core2.l2cache.ReadReq.hits::total,NS_core2.l2cache.demandAccesses::total,NS_core3.decode.blockedCycles,NS_core3.fetch.cycles,NS_core3.numCycles,NS_core3.numSimulatedInsts,NS_core3.rename.LQFullEvents,NS_core3.rename.unblockCycles,NS_core3.rob.reads,NS_core3.switch_cpus0.numRate,NS_core3.system.cpu0.dcache.ReadReq.mshrMissRate::total,NS_core3.system.cpu0.dcache.prefetcher.prefetchers1.pfIssued,NS_core3.system.switch_cpus0.issueRate,NS_core3.timesIdled,NS_core3.l2cache.ReadReq.hits::total,NS_core3.l2cache.demandAccesses::total,NS_core3.ReadSharedReq.mshrMisses::total,NS_core3.mem_ctrls.numStayReadState,NS_core3.mem_ctrls.rdQLenPdf::3,NS_core3.mem_ctrls.totGap,NS_core3.system.l3.ReadSharedReq.accesses::total,NS_core3.system.l3.demandAccesses::total,NS_core3.system.l3.prefetcher.prefetchersx.pfSpanPage,NS_core3.system.l3.tags.totalRefs,NS_core3.system.mem_ctrls.requestorReadAccesses::cpu0.dcache.prefetcher.prefetchers1,Core0.L1.P0.degree,Core0.L1.P1.degree,Core0.L2.P0.degree,Core0.L2.P1.degree,Core1.L1.P0.degree,Core1.L1.P1.degree,Core1.L2.P0.degree,Core1.L2.P1.degree,Core2.L1.P0.degree,Core2.L1.P1.degree,Core2.L2.P0.degree,Core2.L2.P1.degree,Core3.L1.P0.degree,Core3.L1.P1.degree,Core3.L2.P0.degree,Core3.L2.P1.degree,LLC.P0.degree,LLC.P1.degree,LLC.P2.degree
mix60.t2.0,541487.0,2086169.0,4815369.0,23459725.0,324666.0,351542.0,14623105.0,2.2362113889922037,0.008158568356794176,178949.0,2.2392994181754298,375.0,1120.0,86608.0,2665546.0,2974210.0,4815370.0,23459725.0,457157.0,710829.0,10244236.0,1.2246427585003852,0.014740438487910311,89283.0,1.2310846310875385,591.0,19256.0,85887.0,3029083.0,3107686.0,4815369.0,23459725.0,98481.0,338514.0,9992993.0,1.1529959593958428,0.003946880258642392,22206.0,1.153444730819175,354.0,3420.0,39026.0,1312178.0,1744771.0,4815372.0,23459725.0,434990.0,514972.0,7964011.0,0.7793362589640012,0.029119377559402686,163367.0,0.7983892002528569,12050.0,106779.0,272990.0,17593.0,57348.0,1983.0,1314240041.0,33625.0,33867.0,31747.0,236.0,37906.0,322536.0,1897803.0,4533901.0,23680430.0,210182.0,231872.0,14405453.0,2.3733173706263107,0.0070103013375049745,154530.0,2.37642551083493,375.0,810.0,78446.0,2499103.0,2819256.0,4533901.0,23680430.0,409195.0,658616.0,10051628.0,1.304366372357932,0.017441475882815142,153360.0,1.3109595908688787,655.0,18279.0,125264.0,2864451.0,2953156.0,4533901.0,23680430.0,71505.0,307031.0,9647422.0,1.1951946017347974,0.0051524293336681565,0.0,1.1955497043274654,354.0,2623.0,42847.0,1028059.0,1543246.0,4533784.0,23680430.0,296869.0,386786.0,8223661.0,0.8960673909476058,0.02450503130091882,186333.0,0.9154593602165432,23013.0,107115.0,281228.0,5593.0,24274.0,817.0,1238013208.0,15651.0,15757.0,51640.0,391.0,16457.0,4,1,0,0,3,3,4,2,4,0,3,4,2,2,4,3,5,2,5
mix60.t2.1,322536.0,1897803.0,4533901.0,23680430.0,210182.0,231872.0,14405453.0,2.3733173706263107,0.0070103013375049745,154530.0,2.37642551083493,375.0,810.0,78446.0,2499103.0,2819256.0,4533901.0,23680430.0,409195.0,658616.0,10051628.0,1.304366372357932,0.017441475882815142,153360.0,1.3109595908688787,655.0,18279.0,125264.0,2864451.0,2953156.0,4533901.0,23680430.0,71505.0,307031.0,9647422.0,1.1951946017347974,0.0051524293336681565,0.0,1.1955497043274654,354.0,2623.0,42847.0,1028059.0,1543246.0,4533784.0,23680430.0,296869.0,386786.0,8223661.0,0.8960673909476058,0.02450503130091882,186333.0,0.9154593602165432,23013.0,107115.0,281228.0,5593.0,24274.0,817.0,1238013208.0,15651.0,15757.0,51640.0,391.0,16457.0,794483.0,2380821.0,5022291.0,25262945.0,250299.0,348710.0,14868898.0,2.145921054753697,0.011095047787049356,0.0,2.148527235877013,525.0,876.0,39932.0,2708388.0,3085102.0,5022291.0,25262945.0,409765.0,684910.0,11314219.0,1.3395024302653908,0.014770785162718372,147240.0,1.3442771436382321,655.0,14274.0,114087.0,3172414.0,3270197.0,5022291.0,25262945.0,79440.0,340852.0,10692414.0,1.196605692501689,0.004811103126324482,0.0,1.1968320832066481,354.0,1869.0,43803.0,1171024.0,1742698.0,5022417.0,25262945.0,315140.0,415731.0,8974375.0,0.8779557730869421,0.024960022666630135,160480.0,0.8962157065014713,34737.0,108616.0,280869.0,8109.0,28950.0,1179.0,1370162703.0,15833.0,16691.0,22202.0,744.0,14602.0,0,0,3,1,3,3,0,4,4,0,3,3,3,1,3,0,2,1,0
mix60.t2.2,794483.0,2380821.0,5022291.0,25262945.0,250299.0,348710.0,14868898.0,2.145921054753697,0.011095047787049356,0.0,2.148527235877013,525.0,876.0,39932.0,2708388.0,3085102.0,5022291.0,25262945.0,409765.0,684910.0,11314219.0,1.3395024302653908,0.014770785162718372,147240.0,1.3442771436382321,655.0,14274.0,114087.0,3172414.0,3270197.0,5022291.0,25262945.0,79440.0,340852.0,10692414.0,1.196605692501689,0.004811103126324482,0.0,1.1968320832066481,354.0,1869.0,43803.0,1171024.0,1742698.0,5022417.0,25262945.0,315140.0,415731.0,8974375.0,0.8779557730869421,0.024960022666630135,160480.0,0.8962157065014713,34737.0,108616.0,280869.0,8109.0,28950.0,1179.0,1370162703.0,15833.0,16691.0,22202.0,744.0,14602.0,411620.0,1913606.0,4558501.0,23898953.0,278067.0,313962.0,14429893.0,2.360677336694672,0.008771516411629007,283730.0,2.3638389023058237,566.0,1011.0,122160.0,2431408.0,2747316.0,4558502.0,23898953.0,353135.0,592183.0,10247809.0,1.3388648288407026,0.01524992906599041,156260.0,1.343135310678815,872.0,11366.0,119205.0,2888416.0,2970141.0,4558501.0,23898953.0,84227.0,319572.0,9684517.0,1.192245652682757,0.005020290410912546,0.0,1.1925878704424986,362.0,2637.0,39163.0,1093737.0,1602440.0,4558506.0,23898953.0,339418.0,422812.0,8393285.0,0.9096458357189834,0.02791862157546252,296172.0,0.9301845824048494,45802.0,113378.0,353827.0,5208.0,21861.0,735.0,1244957089.0,15349.0,15392.0,29777.0,269.0,15702.0,2,3,2,3,2,4,1,0,2,0,2,1,1,4,3,3,1,2,2
mix60.t2.3,411620.0,1913606.0,4558501.0,23898953.0,278067.0,313962.0,14429893.0,2.360677336694672,0.008771516411629007,283730.0,2.3638389023058237,566.0,1011.0,122160.0,2431408.0,2747316.0,4558502.0,23898953.0,353135.0,592183.0,10247809.0,1.3388648288407026,0.01524992906599041,156260.0,1.343135310678815,872.0,11366.0,119205.0,2888416.0,2970141.0,4558501.0,23898953.0,84227.0,319572.0,9684517.0,1.192245652682757,0.005020290410912546,0.0,1.1925878704424986,362.0,2637.0,39163.0,1093737.0,1602440.0,4558506.0,23898953.0,339418.0,422812.0,8393285.0,0.9096458357189834,0.02791862157546252,296172.0,0.9301845824048494,45802.0,113378.0,353827.0,5208.0,21861.0,735.0,1244957089.0,15349.0,15392.0,29777.0,269.0,15702.0,482452.0,1959527.0,4542771.0,23120864.0,308196.0,346163.0,14376056.0,2.363478150230333,0.009110297575065493,258157.0,2.365764640128239,566.0,668.0,119940.0,1545793.0,2050408.0,4541836.0,23120864.0,282964.0,476544.0,9149423.0,1.1985985403259827,0.005820206977371134,59152.0,1.203778604071129,4675.0,7090.0,56424.0,2876989.0,2964909.0,4542771.0,23120864.0,74768.0,310412.0,9650780.0,1.1915113044439176,0.0027613483716199534,23966.0,1.1918053980709131,362.0,2365.0,27831.0,1038253.0,1564941.0,4542781.0,23120864.0,294820.0,387558.0,8371501.0,0.909742952609866,0.025040697686609988,270284.0,0.9299486371894221,57039.0,114779.0,337450.0,20871.0,45789.0,2748.0,1240490000.0,25106.0,25629.0,51462.0,196.0,20834.0,2,2,4,0,2,2,1,4,0,3,0,2,1,4,2,4,4,0,0
mix60.t2.4,482452.0,1959527.0,4542771.0,23120864.0,308196.0,346163.0,14376056.0,2.363478150230333,0.009110297575065493,258157.0,2.365764640128239,566.0,668.0,119940.0,1545793.0,2050408.0,4541836.0,23120864.0,282964.0,476544.0,9149423.0,1.1985985403259827,0.005820206977371134,59152.0,1.203778604071129,4675.0,7090.0,56424.0,2876989.0,2964909.0,4542771.0,23120864.0,74768.0,310412.0,9650780.0,1.1915113044439176,0.0027613483716199534,23966.0,1.1918053980709131,362.0,2365.0,27831.0,1038253.0,1564941.0,4542781.0,23120864.0,294820.0,387558.0,8371501.0,0.909742952609866,0.025040697686609988,270284.0,0.9299486371894221,57039.0,114779.0,337450.0,20871.0,45789.0,2748.0,1240490000.0,25106.0,25629.0,51462.0,196.0,20834.0,380774.0,1912324.0,4567147.0,24160745.0,253741.0,286766.0,14448073.0,2.3576151588727052,0.00825756061561169,257573.0,2.361005240251737,566.0,964.0,113654.0,1763319.0,2413427.0,4568084.0,24160745.0,354268.0,661000.0,10567160.0,1.4281317944240954,0.012603536693624316,99335.0,1.4320084744501196,5680.0,7655.0,149965.0,2920461.0,2998513.0,4567147.0,24160745.0,85225.0,318984.0,9641788.0,1.178569465795605,0.01241673956226195,0.0,1.178846662916696,362.0,2176.0,23998.0,1140410.0,1653201.0,4567149.0,24160745.0,378130.0,463291.0,8499983.0,0.9314438832628408,0.030064839149034128,234087.0,0.9518837681888636,67597.0,109707.0,320654.0,12985.0,57463.0,1203.0,1244719534.0,40921.0,42548.0,198838.0,1788.0,42309.0,4,3,4,1,4,1,3,0,0,0,2,2,4,2,2,1,5,2,5
mix60.t2.5,380774.0,1912324.0,4567147.0,24160745.0,253741.0,286766.0,14448073.0,2.3576151588727052,0.00825756061561169,257573.0,2.361005240251737,566.0,964.0,113654.0,1763319.0,2413427.0,4568084.0,24160745.0,354268.0,661000.0,10567160.0,1.4281317944240954,0.012603536693624316,99335.0,1.4320084744501196,5680.0,7655.0,149965.0,2920461.0,2998513.0,4567147.0,24160745.0,85225.0,318984.0,9641788.0,1.178569465795605,0.01241673956226195,0.0,1.178846662916696,362.0,2176.0,23998.0,1140410.0,1653201.0,4567149.0,24160745.0,378130.0,463291.0,8499983.0,0.9314438832628408,0.030064839149034128,234087.0,0.9518837681888636,67597.0,109707.0,320654.0,12985.0,57463.0,1203.0,1244719534.0,40921.0,42548.0,198838.0,1788.0,42309.0,251276.0,1878630.0,4533818.0,23956600.0,146387.0,160537.0,14412955.0,2.374850071176214,0.009398541847036751,0.0,2.3781918462540843,587.0,905.0,49632.0,2385182.0,2709973.0,4533819.0,23956600.0,347874.0,604032.0,10198680.0,1.3391913086958258,0.01144508481771131,0.0,1.346632717362559,6268.0,20784.0,42351.0,2847619.0,2936356.0,4533818.0,23956600.0,76112.0,312684.0,9668466.0,1.2005466474393105,0.0031263236678437615,17364.0,1.2009540303558723,429.0,2316.0,36646.0,1107110.0,1628537.0,4533818.0,23956600.0,365209.0,449984.0,8441283.0,0.9306244758832402,0.03009445613790944,273769.0,0.9505408024759706,78043.0,104584.0,336416.0,3801.0,16325.0,628.0,1239523739.0,13918.0,14091.0,16020.0,1118.0,9913.0,3,0,1,2,1,0,4,0,3,1,2,1,3,3,4,4,4,2,1
mix60.t2.6,251276.0,1878630.0,4533818.0,23956600.0,146387.0,160537.0,14412955.0,2.374850071176214,0.009398541847036751,0.0,2.3781918462540843,587.0,905.0,49632.0,2385182.0,2709973.0,4533819.0,23956600.0,347874.0,604032.0,10198680.0,1.3391913086958258,0.01144508481771131,0.0,1.346632717362559,6268.0,20784.0,42351.0,2847619.0,2936356.0,4533818.0,23956600.0,76112.0,312684.0,9668466.0,1.2005466474393105,0.0031263236678437615,17364.0,1.2009540303558723,429.0,2316.0,36646.0,1107110.0,1628537.0,4533818.0,23956600.0,365209.0,449984.0,8441283.0,0.9306244758832402,0.03009445613790944,273769.0,0.9505408024759706,78043.0,104584.0,336416.0,3801.0,16325.0,628.0,1239523739.0,13918.0,14091.0,16020.0,1118.0,9913.0,576004.0,2142915.0,4755929.0,24740947.0,311424.0,405637.0,14630445.0,2.264928050860305,0.007292024312923255,178082.0,2.267552774652439,638.0,839.0,74690.0,2519951.0,2876177.0,4755929.0,24740947.0,371548.0,636223.0,10835399.0,1.3663273778897878,0.014100383078865672,94228.0,1.3733148665591939,6333.0,20566.0,89294.0,2995980.0,3089231.0,4755929.0,24740947.0,77966.0,326787.0,10151672.0,1.202367402877545,0.002831529363581343,21185.0,1.2026396945791242,429.0,2146.0,34257.0,1152677.0,1682572.0,4755927.0,24740947.0,340470.0,431138.0,8804674.0,0.9186377335060021,0.027293511667005773,262414.0,0.9383705847461494,89546.0,110531.0,336128.0,4943.0,22457.0,1117.0,1297899330.0,18154.0,18310.0,3999.0,1989.0,12889.0,0,1,0,2,3,1,0,2,2,2,0,0,3,3,0,1,2,0,1
mix60.t2.7,576004.0,2142915.0,4755929.0,24740947.0,311424.0,405637.0,14630445.0,2.264928050860305,0.007292024312923255,178082.0,2.267552774652439,638.0,839.0,74690.0,2519951.0,2876177.0,4755929.0,24740947.0,371548.0,636223.0,10835399.0,1.3663273778897878,0.014100383078865672,94228.0,1.3733148665591939,6333.0,20566.0,89294.0,2995980.0,3089231.0,4755929.0,24740947.0,77966.0,326787.0,10151672.0,1.202367402877545,0.002831529363581343,21185.0,1.2026396945791242,429.0,2146.0,34257.0,1152677.0,1682572.0,4755927.0,24740947.0,340470.0,431138.0,8804674.0,0.9186377335060021,0.027293511667005773,262414.0,0.9383705847461494,89546.0,110531.0,336128.0,4943.0,22457.0,1117.0,1297899330.0,18154.0,18310.0,3999.0,1989.0,12889.0,366027.0,1899047.0,4535375.0,24213292.0,245463.0,274894.0,14402529.0,2.372349144227324,0.008645193415519106,186995.0,2.3755241848799713,648.0,1020.0,96956.0,2401718.0,2745984.0,4535375.0,24213292.0,347105.0,601905.0,10349226.0,1.3716151365653337,0.014534062981135243,115012.0,1.3776807871454952,6334.0,16902.0,96362.0,2838078.0,2936693.0,4535375.0,24213292.0,64212.0,302908.0,9701666.0,1.2064623101728082,0.0025275006108126477,26776.0,1.206812226111402,435.0,2170.0,34528.0,982545.0,1553143.0,4535390.0,24213292.0,299031.0,386469.0,8529105.0,0.946591583083263,0.02422860952846095,166714.0,0.966685114179817,99447.0,108879.0,264705.0,2363.0,12991.0,380.0,1237086942.0,11075.0,11133.0,52561.0,2198.0,9558.0,3,1,0,1,3,2,1,3,3,4,1,0,0,1,4,2,5,4,3
mix60.t2.8,366027.0,1899047.0,4535375.0,24213292.0,245463.0,274894.0,14402529.0,2.372349144227324,0.008645193415519106,186995.0,2.3755241848799713,648.0,1020.0,96956.0,2401718.0,2745984.0,4535375.0,24213292.0,347105.0,601905.0,10349226.0,1.3716151365653337,0.014534062981135243,115012.0,1.3776807871454952,6334.0,16902.0,96362.0,2838078.0,2936693.0,4535375.0,24213292.0,64212.0,302908.0,9701666.0,1.2064623101728082,0.0025275006108126477,26776.0,1.206812226111402,435.0,2170.0,34528.0,982545.0,1553143.0,4535390.0,24213292.0,299031.0,386469.0,8529105.0,0.946591583083263,0.02422860952846095,166714.0,0.966685114179817,99447.0,108879.0,264705.0,2363.0,12991.0,380.0,1237086942.0,11075.0,11133.0,52561.0,2198.0,9558.0,336168.0,1888188.0,4495418.0,24035912.0,200607.0,226846.0,14338283.0,2.389948609895676,0.01216852442272541,0.0,2.3926756088087915,648.0,1141.0,64876.0,2357606.0,2705483.0,4495418.0,24035912.0,324651.0,570369.0,10303430.0,1.3809454426707373,0.014821397400701397,134970.0,1.385772579991449,6334.0,12774.0,104810.0,2821833.0,2916010.0,4495418.0,24035912.0,65618.0,301926.0,9606975.0,1.2045246960349405,0.002585665032252799,22588.0,1.2048149916203565,435.0,2073.0,33530.0,1110673.0,1620958.0,4495424.0,24035912.0,364897.0,449249.0,8378093.0,0.9318406895545337,0.02918579942485066,261802.0,0.952739719323472,109730.0,107134.0,331480.0,2245.0,11569.0,387.0,1228982938.0,10896.0,10950.0,28278.0,2637.0,8051.0,1,0,0,1,3,3,4,0,3,3,4,0,4,3,3,4,5,2,4
mix60.t2.9,336168.0,1888188.0,4495418.0,24035912.0,200607.0,226846.0,14338283.0,2.389948609895676,0.01216852442272541,0.0,2.3926756088087915,648.0,1141.0,64876.0,2357606.0,2705483.0,4495418.0,24035912.0,324651.0,570369.0,10303430.0,1.3809454426707373,0.014821397400701397,134970.0,1.385772579991449,6334.0,12774.0,104810.0,2821833.0,2916010.0,4495418.0,24035912.0,65618.0,301926.0,9606975.0,1.2045246960349405,0.002585665032252799,22588.0,1.2048149916203565,435.0,2073.0,33530.0,1110673.0,1620958.0,4495424.0,24035912.0,364897.0,449249.0,8378093.0,0.9318406895545337,0.02918579942485066,261802.0,0.952739719323472,109730.0,107134.0,331480.0,2245.0,11569.0,387.0,1228982938.0,10896.0,10950.0,28278.0,2637.0,8051.0,357635.0,1885520.0,4526446.0,24046284.0,234151.0,266449.0,14391716.0,2.3760787160611216,0.007795388319069076,166154.0,2.3792639965217743,687.0,1484.0,88047.0,2292929.0,2636745.0,4526447.0,24046284.0,332884.0,550582.0,10419309.0,1.3901667245855303,0.007881411417853144,52990.0,1.393657321073239,6681.0,7413.0,45763.0,2844335.0,2935121.0,4526446.0,24046284.0,68776.0,306099.0,9661264.0,1.2019449696295945,0.002655351008971329,23434.0,1.202235484528038,448.0,2148.0,35602.0,1136244.0,1623597.0,4526450.0,24046284.0,355108.0,446085.0,8330705.0,0.9137217908073656,0.028494451135402298,257184.0,0.935327685051199,120745.0,117164.0,337511.0,2745.0,12616.0,448.0,1229219081.0,12365.0,12425.0,19835.0,5659.0,8867.0,1,1,3,2,2,1,3,4,4,3,4,4,3,3,4,3,5,1,4
